name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
São Paulo vs Sport Recife,2025-03-29 21:30:00,Game ended in draw.,Brasileirao Betano Serie A,São Paulo,Sport Recife,,,16.0,10.0,6.0,2.0,11.0,4.0,16.0,8.0,117.0,81.0,38.0,14.0,64.0,36.0,1.0,0.0,10.0,3.0,5.0,5.0,1.0,2.0,6.0,17.0,12.0,5.0,17.0,21.0,1.0,3.0,0.0,2.0,1.78,3.41,5.5,1.6,2.43,1.94,1.94,2.0,1.89,,,1.7,3.3,5.5,1.61,2.2,1.88,2.02,1.99,1.91,2.05,1.85,0.56,0.29,0.18,0.41,0.62,0.52,0.52,0.5,0.53,,,0.59,0.3,0.18,0.62,0.45,0.53,0.5,0.5,0.52,0.49,0.54,2025
Cruzeiro vs Mirassol,2025-03-29 21:30:00,Cruzeiro won after full-time.,Brasileirao Betano Serie A,Cruzeiro,Mirassol,2.0,1.0,7.0,14.0,2.0,6.0,5.0,5.0,8.0,16.0,74.0,105.0,25.0,38.0,44.0,56.0,0.0,1.0,5.0,10.0,3.0,6.0,1.0,2.0,8.0,8.0,7.0,10.0,18.0,21.0,5.0,0.0,4.0,3.0,1.6,3.62,7.31,1.69,2.24,,,2.05,1.84,,,1.57,3.7,6.5,1.61,2.2,,,2.0,1.9,,,0.62,0.28,0.14,0.45,0.59,,,0.49,0.54,,,0.64,0.27,0.15,0.62,0.45,,,0.5,0.53,,,2025
Grêmio vs Atlético Mineiro,2025-03-29 21:30:00,Grêmio won after full-time.,Brasileirao Betano Serie A,Grêmio,Atlético Mineiro,2.0,1.0,11.0,1.0,1.0,11.0,4.0,5.0,12.0,22.0,79.0,121.0,31.0,59.0,33.0,67.0,,,4.0,15.0,8.0,7.0,1.0,4.0,9.0,6.0,10.0,12.0,19.0,5.0,6.0,3.0,4.0,0.0,2.75,3.11,2.88,1.8,2.07,1.8,2.11,2.0,1.85,,,2.75,3.0,2.87,1.8,1.95,1.81,2.09,2.1,1.8,,,0.36,0.32,0.35,0.48,0.56,0.56,0.47,0.5,0.54,,,0.36,0.33,0.35,0.56,0.51,0.55,0.48,0.48,0.56,,,2025
Fortaleza vs Fluminense,2025-03-29 21:30:00,Fortaleza won after full-time.,Brasileirao Betano Serie A,Fortaleza,Fluminense,2.0,0.0,10.0,9.0,4.0,5.0,2.0,9.0,5.0,15.0,59.0,121.0,19.0,57.0,30.0,70.0,,,3.0,7.0,2.0,8.0,4.0,1.0,14.0,2.0,6.0,9.0,16.0,5.0,1.0,1.0,1.0,0.0,2.52,3.02,3.28,1.72,2.19,2.0,1.89,2.09,1.78,,,2.5,3.0,3.2,1.66,2.1,2.03,1.87,2.11,1.79,,,0.4,0.33,0.3,0.46,0.58,0.5,0.53,0.48,0.56,,,0.4,0.33,0.31,0.6,0.48,0.49,0.53,0.47,0.56,,,2025
Juventude vs Vitória,2025-03-29 21:30:00,Juventude won after full-time.,Brasileirao Betano Serie A,Juventude,Vitória,2.0,0.0,13.0,20.0,3.0,5.0,3.0,3.0,9.0,14.0,68.0,114.0,27.0,44.0,36.0,64.0,,,8.0,7.0,1.0,7.0,,,6.0,6.0,6.0,7.0,16.0,16.0,5.0,2.0,3.0,4.0,2.21,3.17,3.77,1.84,2.02,,,2.04,1.85,,,2.15,3.1,3.8,1.8,1.95,,,2.07,1.83,,,0.45,0.32,0.27,0.5,0.54,,,0.49,0.54,,,0.47,0.32,0.26,0.56,0.51,,,0.48,0.55,,,2025
Flamengo vs Internacional,2025-03-30 00:00:00,Game ended in draw.,Brasileirao Betano Serie A,Flamengo,Internacional,1.0,1.0,5.0,11.0,4.0,2.0,11.0,1.0,19.0,5.0,142.0,55.0,58.0,18.0,62.0,38.0,,,13.0,2.0,6.0,3.0,5.0,1.0,2.0,12.0,14.0,3.0,10.0,17.0,0.0,4.0,2.0,4.0,1.82,3.51,4.96,1.85,2.02,,,1.9,1.98,2.05,1.81,1.75,3.5,5.0,1.75,2.0,,,1.92,1.98,2.08,1.82,0.55,0.28,0.2,0.5,0.54,,,0.53,0.51,0.49,0.55,0.57,0.29,0.2,0.57,0.5,,,0.52,0.51,0.48,0.55,2025
Palmeiras vs Botafogo,2025-03-30 19:00:00,Game ended in draw.,Brasileirao Betano Serie A,Palmeiras,Botafogo,,,10.0,7.0,2.0,2.0,6.0,5.0,13.0,13.0,116.0,83.0,48.0,33.0,58.0,42.0,,,7.0,10.0,6.0,3.0,1.0,0.0,8.0,10.0,11.0,10.0,18.0,22.0,5.0,3.0,3.0,3.0,1.7,3.59,5.89,1.89,1.96,,,,,2.03,1.86,1.66,3.6,6.0,1.8,1.95,,,,,2.06,1.84,0.59,0.28,0.17,0.51,0.53,,,,,0.49,0.54,0.6,0.28,0.17,0.56,0.51,,,,,0.49,0.54,2025
Vasco da Gama vs Santos,2025-03-30 21:30:00,Vasco da Gama won after full-time.,Brasileirao Betano Serie A,Vasco da Gama,Santos,2.0,1.0,10.0,15.0,2.0,3.0,6.0,5.0,12.0,11.0,112.0,95.0,64.0,45.0,53.0,47.0,,,8.0,9.0,4.0,2.0,1.0,0.0,7.0,7.0,11.0,6.0,11.0,12.0,1.0,3.0,1.0,1.0,2.33,3.13,3.51,1.89,1.96,,,2.02,1.86,,,2.25,3.1,3.4,1.8,1.95,,,2.02,1.88,,,0.43,0.32,0.28,0.51,0.53,,,0.5,0.54,,,0.44,0.32,0.29,0.56,0.51,,,0.5,0.53,,,2025
Bahia vs Corinthians,2025-03-30 23:00:00,Game ended in draw.,Brasileirao Betano Serie A,Bahia,Corinthians,1.0,1.0,13.0,14.0,3.0,5.0,6.0,3.0,14.0,9.0,84.0,133.0,49.0,47.0,42.0,58.0,,,12.0,5.0,2.0,5.0,1.0,1.0,6.0,8.0,9.0,5.0,16.0,15.0,3.0,4.0,4.0,2.0,1.8,3.56,5.04,1.87,1.98,,,1.86,2.03,2.06,1.84,1.8,3.4,5.0,1.8,1.95,,,1.87,2.03,2.08,1.82,0.56,0.28,0.2,0.51,0.53,,,0.54,0.49,0.49,0.54,0.56,0.29,0.2,0.56,0.51,,,0.53,0.49,0.48,0.55,2025
Bragantino vs Ceará,2025-03-31 23:00:00,Game ended in draw.,Brasileirao Betano Serie A,Bragantino,Ceará,2.0,2.0,15.0,13.0,9.0,2.0,6.0,6.0,18.0,13.0,128.0,96.0,73.0,25.0,63.0,37.0,,,11.0,6.0,7.0,7.0,2.0,1.0,8.0,17.0,15.0,12.0,14.0,13.0,4.0,5.0,1.0,3.0,1.99,3.35,4.28,1.87,1.99,,,1.94,1.94,,,1.95,3.3,4.1,1.8,1.95,,,1.97,1.93,,,0.5,0.3,0.23,0.5,0.53,,,0.52,0.52,,,0.51,0.3,0.24,0.56,0.51,,,0.51,0.52,,,2025
