name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Rennes vs Olympique Marseille,2025-08-15 18:45:00,Rennes won after full-time.,France Ligue 1,Rennes,Olympique Marseille,1.0,0.0,9.0,1.0,1.0,12.0,2.0,13.0,12.0,24.0,53.0,126.0,19.0,89.0,28.0,72.0,,,8.0,14.0,4.0,10.0,5.0,0.0,12.0,5.0,7.0,16.0,8.0,11.0,2.0,4.0,2.0,3.0,4.06,3.77,1.92,2.24,1.7,,,,,1.87,2.03,3.75,3.7,1.9,2.1,1.66,,,,,1.85,2.0,0.25,0.27,0.52,0.59,0.45,,,,,0.53,0.49,0.27,0.27,0.53,0.48,0.6,,,,,0.54,0.5,2025-2026
Lens vs Olympique Lyonnais,2025-08-16 15:00:00,Olympique Lyonnais won after full-time.,France Ligue 1,Lens,Olympique Lyonnais,0.0,1.0,13.0,4.0,12.0,8.0,9.0,7.0,18.0,11.0,100.0,78.0,78.0,24.0,55.0,45.0,,,11.0,8.0,7.0,3.0,5.0,1.0,5.0,13.0,11.0,8.0,13.0,20.0,2.0,4.0,2.0,3.0,2.53,3.52,2.88,2.39,1.62,,,,,,,2.5,3.4,2.75,2.2,1.61,,,,,,,0.4,0.28,0.35,0.62,0.42,,,,,,,0.4,0.29,0.36,0.45,0.62,,,,,,,2025-2026
Monaco vs Le Havre,2025-08-16 17:00:00,Monaco won after full-time.,France Ligue 1,Monaco,Le Havre,3.0,1.0,16.0,12.0,5.0,4.0,5.0,3.0,13.0,9.0,149.0,65.0,71.0,20.0,74.0,26.0,,,7.0,5.0,6.0,4.0,5.0,1.0,6.0,9.0,8.0,3.0,5.0,14.0,3.0,1.0,0.0,1.0,1.23,7.01,12.78,1.87,1.99,,,,,,,1.22,7.0,11.0,1.8,1.95,,,,,,,0.81,0.14,0.08,0.5,0.53,,,,,,,0.82,0.14,0.09,0.56,0.51,,,,,,,2025-2026
Nice vs Toulouse,2025-08-16 19:05:00,Toulouse won after full-time.,France Ligue 1,Nice,Toulouse,0.0,1.0,14.0,3.0,9.0,4.0,5.0,6.0,13.0,10.0,82.0,82.0,56.0,42.0,57.0,43.0,,,4.0,7.0,9.0,3.0,,,8.0,11.0,7.0,10.0,12.0,13.0,1.0,2.0,2.0,3.0,1.98,3.47,4.24,2.06,1.82,,,,,2.03,1.87,1.9,3.4,4.1,1.95,1.8,,,,,2.0,1.85,0.51,0.29,0.24,0.55,0.49,,,,,0.49,0.53,0.53,0.29,0.24,0.51,0.56,,,,,0.5,0.54,2025-2026
Brest vs LOSC Lille,2025-08-17 13:00:00,Game ended in draw.,France Ligue 1,Brest,LOSC Lille,3.0,3.0,7.0,14.0,2.0,2.0,8.0,0.0,18.0,10.0,94.0,99.0,35.0,43.0,46.0,54.0,,,12.0,7.0,6.0,3.0,1.0,2.0,4.0,10.0,13.0,7.0,11.0,13.0,3.0,2.0,2.0,1.0,2.51,3.29,3.07,2.08,1.81,,,1.9,2.0,1.94,1.94,2.45,3.2,3.1,1.95,1.8,,,1.85,2.0,1.97,1.87,0.4,0.3,0.33,0.55,0.48,,,0.53,0.5,0.52,0.52,0.41,0.31,0.32,0.51,0.56,,,0.54,0.5,0.51,0.53,2025-2026
Angers SCO vs Paris,2025-08-17 15:15:00,Angers SCO won after full-time.,France Ligue 1,Angers SCO,Paris,1.0,0.0,9.0,12.0,3.0,7.0,3.0,6.0,8.0,17.0,48.0,124.0,27.0,68.0,32.0,68.0,,,5.0,5.0,3.0,12.0,0.0,3.0,14.0,8.0,6.0,12.0,14.0,10.0,7.0,1.0,2.0,1.0,3.12,3.36,2.44,2.14,1.76,,,1.82,2.07,1.94,1.96,3.0,3.3,2.37,2.05,1.7,,,1.92,1.92,2.0,1.85,0.32,0.3,0.41,0.57,0.47,,,0.55,0.48,0.52,0.51,0.33,0.3,0.42,0.49,0.59,,,0.52,0.52,0.5,0.54,2025-2026
Auxerre vs Lorient,2025-08-17 15:15:00,Auxerre won after full-time.,France Ligue 1,Auxerre,Lorient,1.0,0.0,11.0,5.0,4.0,4.0,3.0,6.0,7.0,14.0,91.0,116.0,22.0,38.0,44.0,56.0,1.0,0.0,4.0,11.0,3.0,3.0,0.0,2.0,7.0,4.0,4.0,8.0,18.0,14.0,3.0,2.0,3.0,2.0,2.62,3.2,3.0,1.99,1.88,,,1.84,2.08,1.97,1.91,2.5,3.2,2.9,1.95,1.8,,,1.82,2.02,2.05,1.8,0.38,0.31,0.33,0.53,0.5,,,0.54,0.48,0.51,0.52,0.4,0.31,0.34,0.51,0.56,,,0.55,0.5,0.49,0.56,2025-2026
Metz vs Strasbourg,2025-08-17 15:15:00,Strasbourg won after full-time.,France Ligue 1,Metz,Strasbourg,0.0,1.0,10.0,13.0,3.0,3.0,2.0,2.0,2.0,9.0,62.0,164.0,30.0,50.0,38.0,62.0,,,2.0,4.0,0.0,5.0,1.0,1.0,5.0,3.0,3.0,5.0,16.0,13.0,2.0,0.0,2.0,2.0,3.85,3.57,2.05,2.19,1.73,,,,,1.89,2.02,3.75,3.5,2.0,2.0,1.75,,,,,1.87,1.97,0.26,0.28,0.49,0.58,0.46,,,,,0.53,0.5,0.27,0.29,0.5,0.5,0.57,,,,,0.53,0.51,2025-2026
Nantes vs Paris Saint Germain,2025-08-17 18:45:00,Paris Saint Germain won after full-time.,France Ligue 1,Nantes,Paris Saint Germain,0.0,1.0,10.0,11.0,2.0,7.0,5.0,7.0,5.0,18.0,48.0,170.0,21.0,123.0,29.0,71.0,,,2.0,12.0,3.0,6.0,0.0,1.0,19.0,8.0,5.0,12.0,6.0,6.0,3.0,0.0,1.0,1.0,14.0,7.5,1.21,1.79,2.08,,,,,,,13.0,6.25,1.22,1.75,2.0,,,,,,,0.07,0.13,0.83,0.48,0.56,,,,,,,0.08,0.16,0.82,0.57,0.5,,,,,,,2025-2026
Paris Saint Germain vs Angers SCO,2025-08-22 18:45:00,Paris Saint Germain won after full-time.,France Ligue 1,Paris Saint Germain,Angers SCO,1.0,0.0,7.0,2.0,12.0,0.0,13.0,3.0,21.0,3.0,198.0,19.0,132.0,7.0,84.0,16.0,1.0,0.0,8.0,3.0,13.0,0.0,1.0,1.0,3.0,13.0,17.0,1.0,3.0,9.0,0.0,3.0,,,1.07,15.0,32.0,1.61,2.32,,,,,,,1.06,13.0,23.0,1.53,2.37,,,,,,,0.93,0.07,0.03,0.43,0.62,,,,,,,0.94,0.08,0.04,0.65,0.42,,,,,,,2025-2026
