name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Pohang Steelers vs Daejeon Citizen,2025-02-15 04:00:00,Daejeon Citizen won after full-time.,K League 1,Pohang Steelers,Daejeon Citizen,0.0,3.0,8.0,3.0,7.0,2.0,11.0,1.0,20.0,8.0,133.0,91.0,88.0,42.0,68.0,32.0,,,10.0,6.0,10.0,2.0,1.0,0.0,4.0,14.0,14.0,5.0,3.0,13.0,1.0,3.0,0.0,3.0,2.21,3.49,3.39,1.96,1.89,,,1.85,2.04,,,2.05,3.3,3.5,1.83,1.83,,,1.87,1.97,,,0.45,0.29,0.29,0.53,0.51,,,0.54,0.49,,,0.49,0.3,0.29,0.55,0.55,,,0.53,0.51,,,2025
Jeju United vs Seoul,2025-02-15 06:30:00,Jeju United won after full-time.,K League 1,Jeju United,Seoul,2.0,0.0,6.0,10.0,1.0,4.0,5.0,6.0,9.0,8.0,102.0,117.0,64.0,88.0,44.0,56.0,,,5.0,3.0,4.0,5.0,0.0,3.0,10.0,7.0,8.0,7.0,9.0,10.0,2.0,1.0,0.0,1.0,4.62,3.43,1.9,1.83,2.03,,,1.92,1.96,,,4.33,3.4,1.83,1.72,2.0,,,1.92,1.92,,,0.22,0.29,0.53,0.49,0.55,,,0.52,0.51,,,0.23,0.29,0.55,0.58,0.5,,,0.52,0.52,,,2025
Gwangju vs Suwon,2025-02-15 07:30:00,Game ended in draw.,K League 1,Gwangju,Suwon,,,5.0,11.0,3.0,2.0,8.0,2.0,17.0,5.0,129.0,112.0,87.0,50.0,51.0,49.0,,,11.0,2.0,6.0,3.0,,,3.0,10.0,7.0,3.0,10.0,9.0,2.0,3.0,0.0,1.0,2.51,2.97,3.35,1.69,2.24,1.93,1.95,2.07,1.83,,,2.15,3.25,3.4,,,,,1.92,1.92,,,0.4,0.34,0.3,0.45,0.59,0.52,0.51,0.48,0.55,,,0.47,0.31,0.29,,,,,0.52,0.52,,,2025
Ulsan HD vs Anyang,2025-02-16 05:00:00,Anyang won after full-time.,K League 1,Ulsan HD,Anyang,0.0,1.0,6.0,8.0,5.0,1.0,9.0,3.0,15.0,7.0,132.0,89.0,115.0,45.0,66.0,34.0,,,11.0,4.0,4.0,3.0,0.0,1.0,3.0,12.0,13.0,5.0,6.0,13.0,2.0,3.0,,,1.79,3.78,4.67,1.93,1.92,,,,,2.02,1.86,1.75,3.75,4.5,1.83,1.83,,,,,2.0,1.85,0.56,0.26,0.21,0.52,0.52,,,,,0.5,0.54,0.57,0.27,0.22,0.55,0.55,,,,,0.5,0.54,2025
Jeonbuk Motors vs Gimcheon Sangmu,2025-02-16 07:30:00,Jeonbuk Motors won after full-time.,K League 1,Jeonbuk Motors,Gimcheon Sangmu,2.0,1.0,10.0,5.0,10.0,1.0,4.0,5.0,16.0,11.0,123.0,122.0,95.0,63.0,52.0,48.0,,,12.0,7.0,4.0,4.0,3.0,1.0,5.0,9.0,10.0,9.0,11.0,12.0,2.0,4.0,3.0,0.0,2.45,3.44,2.99,2.11,1.78,,,1.82,2.07,2.04,1.86,2.4,3.25,2.9,2.0,1.72,,,1.8,2.05,2.05,1.8,0.41,0.29,0.33,0.56,0.47,,,0.55,0.48,0.49,0.54,0.42,0.31,0.34,0.5,0.58,,,0.56,0.49,0.49,0.56,2025
Daegu vs Gangwon,2025-02-16 07:30:00,Daegu won after full-time.,K League 1,Daegu,Gangwon,2.0,1.0,7.0,9.0,3.0,4.0,12.0,6.0,17.0,11.0,125.0,78.0,56.0,39.0,62.0,38.0,,,8.0,8.0,9.0,3.0,1.0,1.0,10.0,12.0,15.0,8.0,6.0,14.0,2.0,1.0,0.0,2.0,2.3,3.22,3.46,1.98,1.88,,,1.85,2.04,,,2.3,3.3,3.1,1.83,1.83,,,1.82,2.02,,,0.43,0.31,0.29,0.53,0.51,,,0.54,0.49,,,0.43,0.3,0.32,0.55,0.55,,,0.55,0.5,,,2025
Jeju United vs Gimcheon Sangmu,2025-02-22 05:00:00,Sangju Sangmu won after full-time.,K League 1,Jeju United,Gimcheon Sangmu,2.0,3.0,2.0,8.0,0.0,5.0,2.0,5.0,7.0,15.0,88.0,100.0,40.0,70.0,51.0,49.0,,,6.0,10.0,1.0,5.0,1.0,3.0,6.0,6.0,5.0,8.0,18.0,16.0,4.0,2.0,3.0,4.0,2.95,3.12,2.67,2.01,1.85,,,1.86,2.02,2.08,1.81,2.9,3.1,2.6,1.83,1.83,,,1.9,1.95,2.02,1.82,0.34,0.32,0.37,0.54,0.5,,,0.54,0.5,0.48,0.55,0.34,0.32,0.38,0.55,0.55,,,0.53,0.51,0.5,0.55,2025
Seoul vs Anyang,2025-02-22 07:30:00,Seoul won after full-time.,K League 1,Seoul,Anyang,2.0,1.0,11.0,5.0,4.0,2.0,12.0,2.0,21.0,7.0,78.0,74.0,58.0,34.0,51.0,49.0,,,16.0,5.0,5.0,2.0,2.0,4.0,3.0,13.0,10.0,3.0,3.0,11.0,1.0,2.0,1.0,2.0,2.08,3.24,4.1,1.74,2.16,1.87,2.02,2.1,1.8,,,2.0,3.1,3.8,1.66,2.1,1.87,1.97,1.9,1.95,,,0.48,0.31,0.24,0.46,0.57,0.53,0.5,0.48,0.56,,,0.5,0.32,0.26,0.6,0.48,0.53,0.51,0.53,0.51,,,2025
Daegu vs Suwon,2025-02-22 07:30:00,Daegu won after full-time.,K League 1,Daegu,Suwon,3.0,1.0,4.0,6.0,9.0,5.0,9.0,3.0,22.0,11.0,119.0,112.0,88.0,88.0,56.0,44.0,1.0,0.0,15.0,7.0,7.0,4.0,1.0,5.0,4.0,11.0,13.0,6.0,10.0,8.0,4.0,5.0,2.0,2.0,2.16,3.48,3.52,2.15,1.74,,,1.81,1.99,1.96,1.92,2.05,3.4,3.5,2.0,1.72,,,,,1.95,1.9,0.46,0.29,0.28,0.57,0.47,,,0.55,0.5,0.51,0.52,0.49,0.29,0.29,0.5,0.58,,,,,0.51,0.53,2025
Daejeon Citizen vs Ulsan HD,2025-02-23 05:00:00,Ulsan HD won after full-time.,K League 1,Daejeon Citizen,Ulsan HD,0.0,2.0,2.0,11.0,5.0,4.0,2.0,4.0,8.0,16.0,175.0,119.0,96.0,64.0,61.0,39.0,,,3.0,11.0,5.0,5.0,2.0,2.0,5.0,6.0,3.0,8.0,10.0,12.0,2.0,1.0,1.0,2.0,2.38,3.48,3.07,2.17,1.73,,,1.82,2.02,1.95,1.93,2.3,3.3,3.1,2.0,1.72,,,1.82,2.02,1.95,1.9,0.42,0.29,0.33,0.58,0.46,,,0.55,0.5,0.51,0.52,0.43,0.3,0.32,0.5,0.58,,,0.55,0.5,0.51,0.53,2025
