name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Puebla vs Atlas,2025-07-12 01:00:00,Atlas won after full-time.,Mexico Liga MX,Puebla,Atlas,2.0,3.0,11.0,4.0,4.0,3.0,10.0,4.0,17.0,8.0,85.0,67.0,33.0,30.0,67.0,33.0,,,10.0,7.0,6.0,1.0,2.0,3.0,7.0,13.0,15.0,6.0,16.0,12.0,1.0,3.0,4.0,2.0,2.52,3.27,3.03,,,,,2.08,1.82,,,2.45,3.1,3.1,1.8,1.95,,,2.0,1.8,1.82,1.97,0.4,0.31,0.33,,,,,0.48,0.55,,,0.41,0.32,0.32,0.56,0.51,,,0.5,0.56,0.55,0.51,2025-2026
Juárez vs América,2025-07-12 03:00:00,Game ended in draw.,Mexico Liga MX,Juárez,América,1.0,1.0,13.0,8.0,3.0,4.0,5.0,3.0,9.0,6.0,92.0,93.0,35.0,31.0,55.0,45.0,,,4.0,5.0,4.0,1.0,1.0,0.0,9.0,11.0,8.0,5.0,15.0,12.0,1.0,2.0,2.0,1.0,4.81,3.41,1.87,,,1.84,2.05,2.09,1.81,2.04,1.84,4.2,3.3,1.85,1.66,2.1,1.77,2.02,2.02,1.77,2.0,1.8,0.21,0.29,0.53,,,0.54,0.49,0.48,0.55,0.49,0.54,0.24,0.3,0.54,0.6,0.48,0.56,0.5,0.5,0.56,0.5,0.56,2025-2026
Tijuana vs Querétaro,2025-07-12 03:05:00,Tijuana won after full-time.,Mexico Liga MX,Tijuana,Querétaro,1.0,0.0,16.0,2.0,6.0,3.0,6.0,2.0,12.0,5.0,91.0,73.0,38.0,21.0,60.0,40.0,,,7.0,1.0,5.0,3.0,0.0,1.0,5.0,10.0,8.0,3.0,16.0,15.0,2.0,3.0,1.0,1.0,1.55,4.5,5.84,,,,,,,,,1.53,4.5,5.5,1.95,1.8,,,,,1.85,1.95,0.65,0.22,0.17,,,,,,,,,0.65,0.22,0.18,0.51,0.56,,,,,0.54,0.51,2025-2026
Toluca vs Necaxa,2025-07-13 01:00:00,Toluca won after full-time.,Mexico Liga MX,Toluca,Necaxa,3.0,1.0,11.0,8.0,7.0,4.0,9.0,5.0,21.0,11.0,86.0,66.0,38.0,46.0,55.0,45.0,,,14.0,6.0,6.0,5.0,2.0,1.0,6.0,13.0,15.0,9.0,11.0,13.0,3.0,4.0,2.0,2.0,1.55,4.52,5.9,,,,,,,,,1.53,4.1,6.0,2.1,1.66,,,,,,,0.65,0.22,0.17,,,,,,,,,0.65,0.24,0.17,0.48,0.6,,,,,,,2025-2026
Santos Laguna vs Pumas UNAM,2025-07-13 01:00:00,Santos Laguna won after full-time.,Mexico Liga MX,Santos Laguna,Pumas UNAM,3.0,0.0,6.0,7.0,1.0,5.0,3.0,5.0,8.0,10.0,76.0,67.0,30.0,43.0,45.0,55.0,,,5.0,8.0,3.0,2.0,2.0,7.0,9.0,11.0,6.0,7.0,16.0,16.0,2.0,2.0,2.0,5.0,2.85,3.34,2.62,,,,,,,2.02,1.86,2.87,3.1,2.6,2.05,1.7,,,,,1.97,1.82,0.35,0.3,0.38,,,,,,,0.5,0.54,0.35,0.32,0.38,0.49,0.59,,,,,0.51,0.55,2025-2026
Cruz Azul vs Mazatlán,2025-07-13 03:05:00,Game ended in draw.,Mexico Liga MX,Cruz Azul,Mazatlán,,,12.0,9.0,12.0,2.0,9.0,5.0,14.0,7.0,113.0,71.0,94.0,44.0,74.0,26.0,,,9.0,4.0,5.0,3.0,3.0,4.0,13.0,17.0,11.0,5.0,8.0,9.0,0.0,4.0,2.0,4.0,1.24,6.29,13.32,,,,,,,,,1.2,6.25,17.0,1.57,2.25,,,,,1.8,2.0,0.81,0.16,0.08,,,,,,,,,0.83,0.16,0.06,0.64,0.44,,,,,0.56,0.5,2025-2026
Pachuca vs Monterrey,2025-07-13 23:00:00,Pachuca won after full-time.,Mexico Liga MX,Pachuca,Monterrey,3.0,0.0,11.0,10.0,3.0,7.0,7.0,5.0,16.0,12.0,4.0,5.0,2.0,2.0,41.0,59.0,,,8.0,4.0,8.0,8.0,3.0,3.0,5.0,9.0,12.0,8.0,7.0,12.0,3.0,2.0,3.0,3.0,2.09,3.62,3.59,,,,,,,1.94,1.94,2.0,3.5,3.75,2.0,1.75,,,,,1.9,1.9,0.48,0.28,0.28,,,,,,,0.52,0.52,0.5,0.29,0.27,0.5,0.57,,,,,0.53,0.53,2025-2026
León vs Atlético San Luis,2025-07-14 01:00:00,Atlético San Luis won after full-time.,Mexico Liga MX,León,Atlético San Luis,0.0,1.0,13.0,14.0,4.0,6.0,6.0,6.0,10.0,12.0,21.0,43.0,35.0,43.0,46.0,54.0,,,7.0,7.0,4.0,5.0,5.0,1.0,10.0,9.0,5.0,6.0,12.0,10.0,2.0,3.0,3.0,3.0,1.69,3.8,5.45,,,,,,,1.84,2.06,1.72,3.8,4.75,1.95,1.8,,,,,1.82,1.97,0.59,0.26,0.18,,,,,,,0.54,0.49,0.58,0.26,0.21,0.51,0.56,,,,,0.55,0.51,2025-2026
América vs Tijuana,2025-07-17 01:00:00,América won after full-time.,Mexico Liga MX,América,Tijuana,3.0,1.0,8.0,5.0,8.0,1.0,6.0,5.0,18.0,8.0,92.0,68.0,93.0,49.0,67.0,33.0,1.0,0.0,14.0,3.0,4.0,5.0,1.0,2.0,6.0,14.0,16.0,7.0,11.0,11.0,1.0,6.0,3.0,0.0,1.36,5.42,8.27,1.88,1.97,,,,,,,1.33,5.5,8.5,1.9,1.9,,,,,,,0.74,0.18,0.12,0.51,0.53,,,,,,,0.75,0.18,0.12,0.53,0.53,,,,,,,2025-2026
Santos Laguna vs Toluca,2025-07-17 03:05:00,Toluca won after full-time.,Mexico Liga MX,Santos Laguna,Toluca,2.0,4.0,2.0,3.0,5.0,4.0,1.0,8.0,11.0,20.0,11.0,18.0,3.0,7.0,33.0,67.0,,,9.0,16.0,2.0,4.0,2.0,3.0,5.0,4.0,6.0,16.0,8.0,20.0,5.0,4.0,4.0,4.0,3.43,3.77,2.1,2.4,1.61,,,,,,,3.4,3.6,2.05,2.25,1.57,,,,,,,0.29,0.27,0.48,0.62,0.42,,,,,,,0.29,0.28,0.49,0.44,0.64,,,,,,,2025-2026
Necaxa vs Querétaro,2025-07-19 01:00:00,Necaxa won after full-time.,Mexico Liga MX,Necaxa,Querétaro,3.0,1.0,16.0,15.0,3.0,2.0,11.0,1.0,26.0,3.0,,,,,73.0,27.0,1.0,0.0,11.0,2.0,15.0,1.0,0.0,2.0,5.0,11.0,12.0,4.0,17.0,7.0,1.0,3.0,2.0,0.0,1.76,3.96,4.66,2.15,1.75,,,1.76,1.98,1.85,2.02,1.75,3.5,4.1,2.05,1.7,,,,,1.8,2.0,0.57,0.25,0.21,0.57,0.47,,,0.57,0.51,0.54,0.5,0.57,0.29,0.24,0.49,0.59,,,,,0.56,0.5,2025-2026
Atlético San Luis vs Monterrey,2025-07-19 03:00:00,Monterrey won after full-time.,Mexico Liga MX,Atlético San Luis,Monterrey,0.0,1.0,6.0,18.0,5.0,3.0,3.0,7.0,5.0,13.0,,,,,43.0,57.0,,,3.0,8.0,3.0,5.0,1.0,4.0,4.0,8.0,0.0,1.0,16.0,9.0,2.0,1.0,2.0,2.0,3.29,3.62,2.2,2.39,1.61,,,,,1.85,2.04,2.9,3.5,2.1,2.1,1.66,,,,,1.8,2.0,0.3,0.28,0.45,0.62,0.42,,,,,0.54,0.49,0.34,0.29,0.48,0.48,0.6,,,,,0.56,0.5,2025-2026
Mazatlán vs Puebla,2025-07-19 03:05:00,Mazatlán won after full-time.,Mexico Liga MX,Mazatlán,Puebla,2.0,1.0,10.0,13.0,3.0,4.0,1.0,5.0,7.0,11.0,,,,,41.0,59.0,,,5.0,5.0,2.0,7.0,1.0,3.0,8.0,3.0,4.0,7.0,17.0,12.0,4.0,2.0,3.0,3.0,2.35,3.19,3.41,1.85,2.01,1.83,2.07,2.12,1.79,,,2.2,3.0,3.3,1.7,2.05,1.82,1.97,2.05,1.75,,,0.43,0.31,0.29,0.5,0.54,0.55,0.48,0.47,0.56,,,0.45,0.33,0.3,0.59,0.49,0.55,0.51,0.49,0.57,,,2025-2026
León vs Guadalajara,2025-07-20 01:00:00,León won after full-time.,Mexico Liga MX,León,Guadalajara,1.0,0.0,15.0,13.0,5.0,4.0,1.0,9.0,6.0,18.0,67.0,129.0,33.0,47.0,34.0,66.0,1.0,0.0,3.0,7.0,3.0,8.0,0.0,3.0,13.0,5.0,3.0,8.0,9.0,16.0,1.0,2.0,1.0,0.0,3.4,3.26,2.31,2.05,1.81,,,,,,,3.0,3.3,2.15,1.95,1.8,,,1.8,2.0,2.02,1.77,0.29,0.31,0.43,0.55,0.49,,,,,,,0.33,0.3,0.47,0.51,0.56,,,0.56,0.5,0.5,0.56,2025-2026
Tigres UANL vs Juárez,2025-07-20 01:00:00,Tigres UANL won after full-time.,Mexico Liga MX,Tigres UANL,Juárez,1.0,0.0,14.0,11.0,5.0,2.0,9.0,4.0,22.0,5.0,100.0,107.0,41.0,56.0,65.0,35.0,,,13.0,2.0,9.0,4.0,1.0,1.0,7.0,5.0,13.0,3.0,16.0,14.0,1.0,8.0,3.0,3.0,1.41,4.69,8.62,1.68,2.25,,,1.83,2.07,2.03,1.86,1.36,4.1,9.0,1.57,2.25,,,1.77,2.02,2.0,1.8,0.71,0.21,0.12,0.44,0.6,,,0.55,0.48,0.49,0.54,0.74,0.24,0.11,0.64,0.44,,,0.56,0.5,0.5,0.56,2025-2026
