name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Fortuna Sittard vs Go Ahead Eagles,2025-08-08 18:00:00,Game ended in draw.,Netherlands Eredivisie,Fortuna Sittard,Go Ahead Eagles,2.0,2.0,9.0,10.0,8.0,5.0,13.0,2.0,36.0,6.0,110.0,54.0,75.0,26.0,67.0,33.0,,,23.0,7.0,13.0,0.0,0.0,1.0,5.0,17.0,16.0,3.0,10.0,9.0,1.0,5.0,2.0,2.0,2.78,3.5,2.58,2.39,1.61,,,,,,,2.9,3.6,2.25,2.2,1.61,,,,,,,0.36,0.29,0.39,0.62,0.42,,,,,,,0.34,0.28,0.44,0.45,0.62,,,,,,,2025-2026
NEC Nijmegen vs Excelsior,2025-08-09 14:30:00,NEC Nijmegen won after full-time.,Netherlands Eredivisie,NEC Nijmegen,Excelsior,5.0,0.0,3.0,14.0,7.0,2.0,5.0,1.0,16.0,9.0,106.0,81.0,33.0,44.0,62.0,38.0,1.0,0.0,12.0,7.0,3.0,1.0,2.0,0.0,3.0,8.0,13.0,8.0,14.0,14.0,6.0,5.0,1.0,1.0,1.65,4.38,4.95,2.52,1.56,,,,,1.85,1.99,1.65,4.33,4.5,2.37,1.53,,,,,1.82,1.97,0.61,0.23,0.2,0.64,0.4,,,,,0.54,0.5,0.61,0.23,0.22,0.42,0.65,,,,,0.55,0.51,2025-2026
Feyenoord vs NAC Breda,2025-08-09 16:45:00,Feyenoord won after full-time.,Netherlands Eredivisie,Feyenoord,NAC Breda,2.0,0.0,18.0,6.0,3.0,4.0,9.0,3.0,20.0,7.0,125.0,56.0,69.0,21.0,60.0,40.0,,,12.0,2.0,8.0,5.0,1.0,0.0,7.0,13.0,12.0,3.0,10.0,13.0,0.0,2.0,1.0,1.0,1.38,5.26,8.15,1.88,1.97,,,,,,,1.36,5.5,7.0,1.8,1.95,,,,,,,0.72,0.19,0.12,0.51,0.53,,,,,,,0.74,0.18,0.14,0.56,0.51,,,,,,,2025-2026
SC Heerenveen vs FC Volendam,2025-08-09 18:00:00,Game ended in draw.,Netherlands Eredivisie,SC Heerenveen,FC Volendam,1.0,1.0,11.0,17.0,9.0,2.0,6.0,2.0,18.0,5.0,106.0,74.0,69.0,25.0,58.0,42.0,,,11.0,2.0,7.0,3.0,2.0,2.0,6.0,12.0,11.0,4.0,8.0,9.0,2.0,5.0,1.0,1.0,1.63,4.22,5.31,2.32,1.64,,,,,1.81,2.03,1.6,4.33,5.25,2.2,1.61,,,,,1.8,2.0,0.61,0.24,0.19,0.61,0.43,,,,,0.55,0.49,0.62,0.23,0.19,0.45,0.62,,,,,0.56,0.5,2025-2026
PSV vs Sparta Rotterdam,2025-08-09 19:00:00,PSV won after full-time.,Netherlands Eredivisie,PSV,Sparta Rotterdam,6.0,1.0,6.0,8.0,8.0,5.0,6.0,3.0,23.0,8.0,132.0,84.0,86.0,34.0,66.0,34.0,,,12.0,5.0,10.0,3.0,2.0,0.0,7.0,16.0,20.0,8.0,8.0,2.0,3.0,5.0,1.0,1.0,1.19,7.73,13.49,2.12,1.75,,,,,,,1.18,7.5,13.0,2.0,1.75,,,,,,,0.84,0.13,0.07,0.57,0.47,,,,,,,0.85,0.13,0.08,0.5,0.57,,,,,,,2025-2026
PEC Zwolle vs FC Twente,2025-08-10 10:15:00,PEC Zwolle won after full-time.,Netherlands Eredivisie,PEC Zwolle,FC Twente,1.0,0.0,12.0,9.0,2.0,4.0,2.0,7.0,7.0,16.0,97.0,107.0,46.0,51.0,43.0,57.0,,,4.0,8.0,3.0,8.0,2.0,1.0,12.0,6.0,3.0,9.0,14.0,15.0,4.0,1.0,4.0,1.0,3.52,3.73,2.07,2.36,1.62,,,,,,,3.1,3.4,2.0,2.2,1.61,,,,,,,0.28,0.27,0.48,0.62,0.42,,,,,,,0.32,0.29,0.5,0.45,0.62,,,,,,,2025-2026
Ajax vs Telstar,2025-08-10 12:30:00,Ajax won after full-time.,Netherlands Eredivisie,Ajax,Telstar,2.0,0.0,10.0,14.0,8.0,10.0,4.0,6.0,15.0,18.0,126.0,59.0,68.0,36.0,62.0,38.0,,,10.0,11.0,5.0,7.0,1.0,2.0,5.0,7.0,11.0,11.0,9.0,12.0,5.0,5.0,,,1.2,7.78,12.47,1.98,1.86,,,,,,,1.18,7.5,15.0,1.95,1.8,,,,,,,0.83,0.13,0.08,0.54,0.51,,,,,,,0.85,0.13,0.07,0.51,0.56,,,,,,,2025-2026
AZ vs FC Groningen,2025-08-10 12:30:00,AZ won after full-time.,Netherlands Eredivisie,AZ,FC Groningen,4.0,1.0,8.0,15.0,6.0,1.0,3.0,3.0,10.0,11.0,78.0,96.0,39.0,37.0,51.0,49.0,1.0,0.0,8.0,6.0,2.0,4.0,1.0,0.0,7.0,6.0,7.0,8.0,11.0,12.0,6.0,2.0,2.0,2.0,1.35,5.29,9.11,1.89,1.96,,,,,,,1.33,5.25,8.5,1.8,1.95,,,,,,,0.74,0.19,0.11,0.51,0.53,,,,,,,0.75,0.19,0.12,0.56,0.51,,,,,,,2025-2026
FC Utrecht vs Heracles Almelo,2025-08-10 14:45:00,FC Utrecht won after full-time.,Netherlands Eredivisie,FC Utrecht,Heracles Almelo,4.0,0.0,11.0,12.0,4.0,4.0,5.0,6.0,18.0,10.0,99.0,79.0,35.0,34.0,48.0,52.0,,,17.0,6.0,2.0,4.0,,,7.0,5.0,11.0,10.0,10.0,16.0,3.0,3.0,1.0,2.0,1.55,4.32,6.27,1.97,1.88,,,,,1.85,2.05,1.55,4.2,5.75,1.9,1.9,,,,,1.8,2.0,0.65,0.23,0.16,0.53,0.51,,,,,0.54,0.49,0.65,0.24,0.17,0.53,0.53,,,,,0.56,0.5,2025-2026
Telstar vs PEC Zwolle,2025-08-15 18:00:00,PEC Zwolle won after full-time.,Netherlands Eredivisie,Telstar,PEC Zwolle,0.0,2.0,14.0,7.0,7.0,0.0,3.0,4.0,11.0,10.0,107.0,76.0,54.0,28.0,52.0,48.0,,,7.0,5.0,4.0,5.0,0.0,3.0,5.0,9.0,7.0,7.0,13.0,10.0,1.0,5.0,3.0,3.0,2.55,3.59,2.76,2.52,1.56,,,,,,,2.5,3.5,2.7,2.25,1.57,,,,,,,0.39,0.28,0.36,0.64,0.4,,,,,,,0.4,0.29,0.37,0.44,0.64,,,,,,,2025-2026
