name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Paços de Ferreira vs Vizela,2025-08-09 10:00:00,Vizela won after full-time.,Portugal LigaPro,Paços de Ferreira,Vizela,1.0,2.0,10.0,18.0,4.0,4.0,3.0,4.0,10.0,16.0,74.0,93.0,56.0,56.0,36.0,64.0,,,5.0,10.0,5.0,6.0,1.0,0.0,8.0,7.0,5.0,10.0,19.0,21.0,5.0,2.0,2.0,8.0,3.61,3.74,2.02,2.09,1.77,,,,,1.86,2.01,3.5,3.6,1.85,2.0,1.72,,,1.77,2.02,1.8,2.0,0.28,0.27,0.5,0.56,0.48,,,,,0.54,0.5,0.29,0.28,0.54,0.5,0.58,,,0.56,0.5,0.56,0.5,2025-2026
Torreense vs Sporting CP II,2025-08-09 13:00:00,Sporting CP II won after full-time.,Portugal LigaPro,Torreense,Sporting CP II,0.0,1.0,15.0,14.0,5.0,4.0,8.0,2.0,11.0,9.0,69.0,68.0,49.0,44.0,45.0,55.0,,,4.0,5.0,7.0,4.0,2.0,3.0,12.0,9.0,8.0,6.0,14.0,6.0,0.0,2.0,3.0,2.0,1.93,3.42,4.32,1.92,1.91,,,,,,,1.85,3.5,3.7,1.83,1.83,,,1.77,2.02,2.02,1.77,0.52,0.29,0.23,0.52,0.52,,,,,,,0.54,0.29,0.27,0.55,0.55,,,0.56,0.5,0.5,0.56,2025-2026
Portimonense SAD vs Penafiel,2025-08-09 17:00:00,Portimonense won after full-time.,Portugal LigaPro,Portimonense SAD,Penafiel,2.0,1.0,2.0,8.0,6.0,6.0,11.0,2.0,23.0,10.0,96.0,101.0,62.0,52.0,53.0,47.0,,,13.0,6.0,10.0,4.0,1.0,2.0,8.0,11.0,16.0,6.0,16.0,21.0,3.0,4.0,3.0,3.0,2.22,3.34,3.46,2.06,1.79,,,,,2.04,1.84,2.1,3.25,3.3,1.9,1.8,,,,,2.0,1.8,0.45,0.3,0.29,0.56,0.49,,,,,0.49,0.54,0.48,0.31,0.3,0.53,0.56,,,,,0.5,0.56,2025-2026
Chaves vs Benfica II,2025-08-10 10:00:00,Game ended in draw.,Portugal LigaPro,Chaves,Benfica II,1.0,1.0,6.0,7.0,3.0,3.0,12.0,3.0,19.0,6.0,88.0,65.0,57.0,35.0,70.0,30.0,0.0,1.0,13.0,4.0,6.0,2.0,1.0,4.0,6.0,15.0,14.0,5.0,11.0,21.0,0.0,1.0,3.0,4.0,2.62,3.63,2.62,2.08,1.78,,,,,1.98,1.89,2.45,3.2,2.55,2.0,1.72,,,,,1.95,1.85,0.38,0.28,0.38,0.56,0.48,,,,,0.51,0.53,0.41,0.31,0.39,0.5,0.58,,,,,0.51,0.54,2025-2026
Marítimo vs Lusitania FC Lourosa,2025-08-10 13:00:00,Lusitania FC Lourosa won after full-time.,Portugal LigaPro,Marítimo,Lusitania FC Lourosa,0.0,1.0,5.0,10.0,3.0,5.0,7.0,4.0,18.0,12.0,129.0,91.0,86.0,45.0,55.0,45.0,,,10.0,9.0,8.0,3.0,3.0,3.0,4.0,16.0,,,16.0,11.0,4.0,5.0,3.0,2.0,2.14,3.34,3.67,1.95,1.88,,,1.86,2.02,,,2.1,3.1,3.4,1.83,1.83,,,1.8,2.0,2.0,1.8,0.47,0.3,0.27,0.53,0.51,,,0.54,0.5,,,0.48,0.32,0.29,0.55,0.55,,,0.56,0.5,0.5,0.56,2025-2026
Leixões vs Felgueiras 1932,2025-08-10 14:30:00,Leixões won after full-time.,Portugal LigaPro,Leixões,Felgueiras 1932,3.0,0.0,15.0,9.0,4.0,5.0,7.0,12.0,16.0,17.0,77.0,76.0,33.0,42.0,37.0,63.0,,,11.0,12.0,5.0,5.0,3.0,1.0,18.0,12.0,15.0,15.0,18.0,15.0,4.0,4.0,1.0,1.0,2.78,3.14,2.78,1.92,1.91,,,1.98,1.89,,,2.62,3.0,2.62,1.83,1.83,,,1.95,1.85,,,0.36,0.32,0.36,0.52,0.52,,,0.51,0.53,,,0.38,0.33,0.38,0.55,0.55,,,0.51,0.54,,,2025-2026
União de Leiria vs Academico Viseu,2025-08-10 17:00:00,União de Leiria won after full-time.,Portugal LigaPro,União de Leiria,Academico Viseu,3.0,2.0,9.0,11.0,7.0,6.0,2.0,4.0,8.0,10.0,89.0,51.0,52.0,35.0,66.0,34.0,,,5.0,6.0,3.0,4.0,2.0,2.0,5.0,4.0,8.0,6.0,12.0,17.0,1.0,2.0,1.0,5.0,2.07,3.34,3.89,1.96,1.88,,,1.83,2.04,2.06,1.81,1.95,3.3,3.6,1.83,1.83,,,1.8,2.0,2.0,1.8,0.48,0.3,0.26,0.53,0.51,,,0.55,0.49,0.49,0.55,0.51,0.3,0.28,0.55,0.55,,,0.56,0.5,0.5,0.56,2025-2026
Porto II vs Feirense,2025-08-10 17:00:00,Game ended in draw.,Portugal LigaPro,Porto II,Feirense,,,8.0,10.0,4.0,6.0,2.0,7.0,8.0,16.0,73.0,64.0,27.0,23.0,68.0,32.0,,,1.0,7.0,7.0,9.0,0.0,1.0,8.0,7.0,5.0,10.0,8.0,18.0,3.0,3.0,1.0,3.0,1.97,3.42,4.15,1.86,1.97,,,1.92,1.94,,,1.9,3.25,3.8,1.8,1.9,,,1.9,1.9,,,0.51,0.29,0.24,0.51,0.54,,,0.52,0.52,,,0.53,0.31,0.26,0.56,0.53,,,0.53,0.53,,,2025-2026
UD Oliveirense vs Farense,2025-08-11 17:00:00,Game ended in draw.,Portugal LigaPro,UD Oliveirense,Farense,1.0,1.0,11.0,12.0,1.0,10.0,0.0,9.0,8.0,16.0,61.0,82.0,31.0,74.0,36.0,64.0,1.0,0.0,6.0,11.0,2.0,5.0,1.0,2.0,13.0,1.0,6.0,10.0,13.0,13.0,3.0,5.0,2.0,5.0,4.9,3.88,1.72,2.05,1.8,,,,,1.81,1.97,4.75,3.7,1.72,1.83,1.83,,,,,1.9,1.9,0.2,0.26,0.58,0.56,0.49,,,,,0.55,0.51,0.21,0.27,0.58,0.55,0.55,,,,,0.53,0.53,2025-2026
Feirense vs Portimonense SAD,2025-08-15 17:00:00,Feirense won after full-time.,Portugal LigaPro,Feirense,Portimonense SAD,4.0,1.0,11.0,4.0,6.0,2.0,9.0,2.0,20.0,3.0,114.0,83.0,75.0,35.0,49.0,51.0,1.0,0.0,11.0,3.0,9.0,0.0,0.0,2.0,2.0,13.0,15.0,2.0,20.0,14.0,0.0,1.0,5.0,1.0,2.07,3.21,4.08,1.87,1.97,,,1.92,1.94,2.01,1.86,2.05,3.25,3.75,1.8,1.9,,,1.92,1.87,1.97,1.82,0.48,0.31,0.25,0.51,0.53,,,0.52,0.52,0.5,0.54,0.49,0.31,0.27,0.56,0.53,,,0.52,0.53,0.51,0.55,2025-2026
