name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Dinamo Moskva vs Baltika,2025-07-18 17:30:00,Game ended in draw.,Russia Premier League,Dinamo Moskva,Baltika,1.0,1.0,5.0,12.0,9.0,1.0,7.0,1.0,17.0,4.0,107.0,90.0,56.0,35.0,64.0,36.0,,,5.0,3.0,4.0,1.0,0.0,5.0,2.0,13.0,9.0,4.0,10.0,23.0,2.0,2.0,2.0,3.0,1.56,4.25,5.96,1.99,1.85,,,,,1.83,2.05,,,,,,,,,,,,0.64,0.24,0.17,0.54,0.5,,,,,0.55,0.49,,,,,,,,,,,,2025-2026
Akron vs Krylya Sovetov,2025-07-19 12:30:00,Game ended in draw.,Russia Premier League,Akron,Krylya Sovetov,1.0,1.0,13.0,16.0,7.0,2.0,6.0,4.0,18.0,11.0,109.0,87.0,55.0,31.0,49.0,51.0,,,10.0,5.0,8.0,6.0,2.0,1.0,5.0,10.0,10.0,9.0,15.0,15.0,4.0,4.0,0.0,1.0,2.52,3.47,2.83,2.22,1.69,,,,,1.9,1.96,,,,,,,,,,,,0.4,0.29,0.35,0.59,0.45,,,,,0.53,0.51,,,,,,,,,,,,2025-2026
Lokomotiv Moskva vs Sochi,2025-07-19 15:00:00,Lokomotiv Moskva won after full-time.,Russia Premier League,Lokomotiv Moskva,Sochi,3.0,0.0,2.0,15.0,4.0,2.0,7.0,2.0,16.0,6.0,103.0,86.0,55.0,38.0,43.0,57.0,,,11.0,4.0,5.0,2.0,3.0,1.0,8.0,9.0,14.0,5.0,16.0,14.0,2.0,3.0,1.0,2.0,1.69,4.08,4.73,2.14,1.72,,,,,,,,,,,,,,,,,,0.59,0.25,0.21,0.58,0.47,,,,,,,,,,,,,,,,,,2025-2026
Spartak Moskva vs Dynamo Makhachkala,2025-07-19 17:30:00,Spartak Moskva won after full-time.,Russia Premier League,Spartak Moskva,Dynamo Makhachkala,1.0,0.0,5.0,13.0,4.0,3.0,7.0,4.0,16.0,9.0,104.0,91.0,55.0,34.0,63.0,37.0,,,8.0,5.0,6.0,3.0,4.0,0.0,6.0,9.0,13.0,3.0,23.0,16.0,0.0,5.0,3.0,6.0,1.34,5.19,9.52,1.67,2.26,,,,,1.84,2.04,,,,,,,,,,,,0.75,0.19,0.11,0.44,0.6,,,,,0.54,0.49,,,,,,,,,,,,2025-2026
FK Nizjni Novgorod vs Krasnodar,2025-07-20 12:30:00,Krasnodar won after full-time.,Russia Premier League,FK Nizjni Novgorod,Krasnodar,0.0,3.0,8.0,11.0,5.0,3.0,4.0,3.0,10.0,8.0,98.0,100.0,55.0,40.0,49.0,51.0,,,3.0,8.0,5.0,1.0,3.0,1.0,5.0,13.0,7.0,7.0,16.0,16.0,2.0,2.0,3.0,1.0,7.3,4.81,1.43,1.97,1.87,,,,,,,,,,,,,,,,,,0.14,0.21,0.7,0.53,0.51,,,,,,,,,,,,,,,,,,2025-2026
Zenit vs Rostov,2025-07-20 15:00:00,Zenit won after full-time.,Russia Premier League,Zenit,Rostov,2.0,1.0,12.0,7.0,4.0,3.0,3.0,2.0,16.0,8.0,98.0,86.0,55.0,43.0,70.0,30.0,2.0,0.0,11.0,4.0,3.0,2.0,3.0,3.0,4.0,9.0,9.0,5.0,8.0,13.0,2.0,4.0,3.0,4.0,1.31,5.57,9.85,1.67,2.25,,,,,,,,,,,,,,,,,,0.76,0.18,0.1,0.44,0.6,,,,,,,,,,,,,,,,,,2025-2026
Akhmat Grozny vs Rubin Kazan,2025-07-20 17:30:00,Rubin Kazan won after full-time.,Russia Premier League,Akhmat Grozny,Rubin Kazan,0.0,2.0,12.0,8.0,5.0,1.0,10.0,0.0,24.0,4.0,140.0,63.0,65.0,21.0,66.0,34.0,,,12.0,3.0,12.0,1.0,2.0,2.0,6.0,11.0,15.0,3.0,6.0,19.0,1.0,6.0,1.0,7.0,2.24,3.36,3.39,2.1,1.76,,,,,2.02,1.86,,,,,,,,,,,,0.45,0.3,0.29,0.57,0.48,,,,,0.5,0.54,,,,,,,,,,,,2025-2026
Orenburg vs CSKA Moskva,2025-07-21 14:30:00,Game ended in draw.,Russia Premier League,Orenburg,CSKA Moskva,,,10.0,11.0,4.0,11.0,4.0,5.0,7.0,19.0,68.0,107.0,34.0,61.0,34.0,66.0,,,4.0,11.0,3.0,7.0,0.0,2.0,9.0,9.0,7.0,13.0,24.0,9.0,7.0,3.0,2.0,4.0,5.87,4.34,1.56,2.09,1.78,,,,,1.81,2.01,,,,,,,,,,,,0.17,0.23,0.64,0.56,0.48,,,,,0.55,0.5,,,,,,,,,,,,2025-2026
Krylya Sovetov vs FK Nizjni Novgorod,2025-07-25 16:00:00,Krylya Sovetov won after full-time.,Russia Premier League,Krylya Sovetov,FK Nizjni Novgorod,2.0,0.0,8.0,16.0,3.0,4.0,5.0,5.0,13.0,12.0,98.0,92.0,47.0,32.0,58.0,42.0,,,7.0,5.0,5.0,4.0,2.0,0.0,8.0,11.0,10.0,8.0,11.0,22.0,5.0,1.0,2.0,2.0,1.89,3.66,4.29,1.98,1.87,,,,,2.04,1.85,,,,,,,,,,,,0.53,0.27,0.23,0.53,0.51,,,,,0.49,0.54,,,,,,,,,,,,2025-2026
Spartak Moskva vs Baltika,2025-07-26 12:00:00,Baltika won after full-time.,Russia Premier League,Spartak Moskva,Baltika,0.0,3.0,6.0,8.0,0.0,6.0,2.0,9.0,3.0,24.0,76.0,97.0,23.0,48.0,34.0,66.0,,,2.0,13.0,1.0,10.0,1.0,1.0,14.0,2.0,1.0,14.0,11.0,17.0,7.0,0.0,4.0,4.0,1.4,4.75,8.71,1.78,2.1,,,,,1.89,2.0,,,,,,,,,,,,0.71,0.21,0.11,0.48,0.56,,,,,0.53,0.5,,,,,,,,,,,,2025-2026
