team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Anderlecht,2.0,1.0,6.75,3.75,6.75,4.38,17.62,9.75,105.88,91.25,60.75,40.25,50.88,49.12,1.0,0.0,10.25,6.75,7.38,3.0,2.12,1.12,7.38,9.75,12.5,6.25,14.38,10.62,1.62,4.38,2.62,2.62,0.54,0.25,0.25,0.6,0.44,,,,,0.53,0.5,0.54,0.26,0.26,0.47,0.6,,,,,0.55,0.51,Belgium Liga Pro,2025-2026,1.0,1.17,4.0,5.83,5.5,5.33,12.67,11.83,97.17,94.0,49.17,54.83,45.33,54.67,0.5,0.5,8.33,7.17,4.33,4.67,1.5,1.67,7.33,7.0,8.5,8.17,8.5,14.33,2.17,3.0,1.83,2.67,0.35,0.28,0.4,0.59,0.45,,,0.54,0.5,0.52,0.52,0.37,0.28,0.4,0.49,0.58,,,0.55,0.5,0.54,0.52
Antwerp,1.57,1.14,4.86,4.86,4.43,4.14,13.0,12.0,97.0,89.86,43.71,39.57,53.57,46.43,1.5,0.0,7.57,8.86,5.43,3.14,3.14,1.43,6.71,8.14,9.29,6.57,10.57,13.43,2.71,3.57,2.43,2.57,0.39,0.28,0.36,0.57,0.47,,,0.5,0.53,0.52,0.51,0.41,0.29,0.37,0.5,0.57,,,0.55,0.51,0.53,0.52,Belgium Liga Pro,2025-2026,1.33,0.33,5.0,3.14,5.86,4.29,16.14,9.29,108.0,86.0,51.71,33.86,53.57,46.43,0.0,1.0,9.43,5.14,6.57,3.86,1.71,2.14,6.86,8.29,10.0,5.83,13.43,14.0,2.29,3.86,1.86,2.29,0.5,0.28,0.25,0.59,0.45,,,0.55,0.48,0.52,0.51,0.51,0.28,0.27,0.48,0.59,,,0.56,0.5,0.54,0.51
Cercle Brugge,1.62,2.0,4.38,4.62,6.25,6.25,15.12,14.25,107.75,75.75,47.75,34.88,51.62,48.38,1.0,0.25,11.12,8.88,3.88,5.38,2.75,1.25,7.25,9.5,10.12,10.5,8.62,13.75,3.25,3.0,1.38,1.62,0.43,0.28,0.33,0.62,0.42,,,,,0.54,0.5,0.44,0.28,0.35,0.45,0.62,,,,,0.53,0.53,Belgium Liga Pro,2025-2026,1.4,1.0,5.57,4.29,5.29,6.0,13.71,12.71,99.14,109.14,53.57,52.57,50.86,49.14,0.0,1.0,9.86,9.43,3.86,3.14,2.29,2.71,9.57,7.57,8.86,6.86,11.29,12.57,2.86,3.43,1.43,2.43,0.46,0.27,0.31,0.58,0.46,0.55,0.48,0.55,0.48,0.51,0.52,0.47,0.28,0.32,0.48,0.59,,,0.52,0.54,0.52,0.53
Club Brugge,2.14,1.0,6.71,4.71,6.0,5.71,16.43,12.43,113.14,71.86,64.29,39.0,63.29,36.71,,,11.57,8.57,4.86,3.71,2.0,2.0,7.29,8.29,9.71,7.29,9.43,11.71,3.14,3.0,1.43,2.14,0.67,0.2,0.17,0.59,0.44,,,,,,,0.67,0.22,0.18,0.48,0.59,,,,,,,Belgium Liga Pro,2025-2026,0.75,0.88,4.25,6.75,5.75,5.38,12.88,15.0,73.12,107.12,39.62,57.88,39.25,60.75,0.5,0.5,7.75,10.0,5.0,5.12,1.25,1.12,9.0,7.5,9.0,9.75,12.88,9.5,3.75,3.12,2.75,1.75,0.21,0.24,0.58,0.62,0.43,,,,,,,0.23,0.24,0.6,0.46,0.62,,,,,0.56,0.5
Dender,0.6,1.8,3.43,4.71,4.71,6.86,10.14,12.86,94.86,102.29,43.29,55.71,51.29,48.71,1.0,0.0,7.14,9.0,3.14,3.57,2.43,1.57,9.71,7.29,7.29,9.0,8.86,12.29,2.43,2.86,1.17,1.83,0.33,0.29,0.41,0.56,0.48,,,0.48,0.55,0.52,0.52,0.36,0.29,0.42,0.51,0.56,,,0.5,0.56,0.52,0.53,Belgium Liga Pro,2025-2026,2.0,0.71,6.0,3.14,6.29,3.86,16.71,10.57,120.0,89.29,60.71,36.86,58.14,41.86,1.0,0.0,10.71,7.14,5.86,3.43,2.29,2.0,7.29,10.0,11.14,7.86,11.71,12.0,3.43,3.0,1.86,1.71,0.58,0.24,0.21,0.58,0.47,,,0.52,0.52,0.52,0.51,0.59,0.26,0.23,0.49,0.58,,,0.53,0.52,0.53,0.52
Genk,1.33,1.33,6.33,3.33,6.17,2.67,16.5,9.0,137.33,71.0,66.0,32.83,66.67,33.33,0.0,1.0,9.17,7.17,7.5,1.83,1.8,2.2,5.33,9.33,9.33,6.33,11.0,14.5,3.17,3.67,1.17,3.0,0.59,0.24,0.21,0.58,0.46,,,,,0.52,0.52,0.59,0.24,0.24,0.48,0.59,,,,,0.53,0.53,Belgium Liga Pro,2025-2026,1.25,1.38,4.5,5.12,5.88,6.25,15.5,15.25,71.88,99.5,40.62,48.75,39.12,60.88,1.0,0.0,10.5,9.88,4.75,5.25,2.12,1.25,8.5,6.88,10.75,10.0,12.12,9.38,3.88,3.25,2.25,2.0,0.33,0.26,0.44,0.62,0.42,,,0.55,0.48,0.5,0.53,0.34,0.27,0.45,0.45,0.63,,,0.55,0.51,0.54,0.52
Gent,2.0,0.86,4.57,4.57,6.14,4.43,14.71,11.57,111.71,98.43,49.86,40.43,55.86,44.14,,,9.43,7.57,5.29,4.0,1.5,1.5,8.14,8.71,10.29,8.29,10.57,9.71,3.43,2.29,1.43,2.14,0.4,0.26,0.37,0.59,0.45,,,0.55,0.48,0.52,0.52,0.41,0.27,0.39,0.48,0.59,,,0.56,0.5,0.53,0.52,Belgium Liga Pro,2025-2026,2.29,1.29,5.12,5.62,5.88,4.12,15.75,12.62,100.5,96.5,48.0,44.38,47.38,52.62,0.33,0.67,11.12,7.75,4.62,4.88,2.0,1.62,7.88,10.12,11.75,8.88,11.25,11.38,3.75,4.12,2.38,2.12,0.44,0.28,0.32,0.63,0.41,,,,,0.53,0.51,0.45,0.28,0.33,0.44,0.63,,,,,0.55,0.51
La Louvière,1.0,0.75,5.0,2.86,5.57,4.57,10.0,11.71,84.33,108.83,46.0,50.33,35.0,65.0,0.0,1.0,6.43,7.29,3.43,4.43,1.86,1.86,8.29,9.29,7.43,7.0,11.43,12.0,3.57,2.0,1.71,1.57,0.3,0.28,0.46,0.55,0.49,0.52,0.51,0.53,0.5,0.52,0.52,0.31,0.28,0.47,0.51,0.56,0.54,0.51,0.52,0.54,0.52,0.54,Belgium Liga Pro,2025-2026,1.83,1.17,5.0,3.29,4.29,3.86,12.0,8.29,113.57,79.86,47.0,33.43,69.29,30.71,1.0,0.0,8.57,6.57,3.29,1.86,2.71,1.57,8.57,9.57,9.43,6.43,13.57,13.14,1.71,3.29,1.71,2.14,0.51,0.29,0.24,0.53,0.51,,,0.51,0.52,0.51,0.52,0.53,0.3,0.25,0.54,0.54,,,0.53,0.52,0.53,0.53
Mechelen,1.5,1.5,4.29,6.86,3.86,6.43,10.29,17.43,84.0,112.0,47.71,58.57,48.43,51.57,0.67,0.67,7.43,12.14,2.86,5.29,1.57,0.86,11.14,5.29,6.43,11.86,10.43,12.0,5.0,2.71,2.43,1.71,0.36,0.27,0.4,0.61,0.43,,,,,0.51,0.52,0.38,0.27,0.42,0.46,0.61,,,,,0.53,0.52,Belgium Liga Pro,2025-2026,1.14,1.43,7.57,5.43,5.86,4.29,15.71,10.57,109.14,82.71,61.86,42.14,51.0,49.0,1.0,0.0,9.43,7.0,6.29,3.57,0.67,1.33,7.0,8.57,9.29,5.57,10.86,8.57,2.57,3.29,1.29,2.14,0.46,0.27,0.31,0.63,0.41,,,,,0.51,0.52,0.47,0.28,0.32,0.46,0.62,,,,,0.53,0.53
OH Leuven,1.43,1.14,3.14,6.29,5.14,4.71,12.86,11.14,72.57,98.43,35.14,47.14,43.29,56.71,0.0,1.0,8.57,7.71,4.14,3.43,1.86,2.71,8.71,7.57,7.86,8.0,16.0,11.71,3.0,3.0,3.0,2.29,0.34,0.29,0.4,0.56,0.48,0.55,0.48,0.52,0.52,0.51,0.52,0.36,0.29,0.42,0.51,0.56,0.56,0.5,0.53,0.53,0.53,0.52,Belgium Liga Pro,2025-2026,2.0,0.71,5.0,4.71,5.0,4.0,13.43,11.0,94.43,81.14,54.57,44.86,54.71,45.29,1.5,0.0,9.29,7.29,4.14,3.71,3.29,1.86,7.43,8.29,9.57,6.29,10.29,17.57,2.71,3.57,2.29,3.29,0.48,0.28,0.27,0.56,0.48,,,0.53,0.5,0.51,0.52,0.51,0.28,0.28,0.51,0.56,,,0.53,0.53,0.51,0.54
