team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Atlético Mineiro,1.85,1.08,7.12,3.88,6.25,4.25,17.25,10.12,100.19,81.44,53.25,33.81,55.69,44.31,0.0,1.0,10.06,5.44,7.06,4.56,1.67,0.8,7.44,9.5,10.62,7.12,14.0,11.94,2.38,3.75,2.62,2.69,0.52,0.29,0.22,0.48,0.56,0.55,0.49,0.51,0.52,0.5,0.54,0.53,0.29,0.23,0.58,0.49,0.54,0.5,0.51,0.53,0.51,0.54,Brasileirao Betano Serie A,2025,1.56,0.81,5.56,4.94,5.56,4.94,14.78,12.61,89.67,92.56,36.67,37.83,47.33,52.67,0.5,0.5,8.06,6.39,6.78,6.22,1.53,2.06,6.83,7.22,9.71,8.41,15.0,12.67,2.89,3.61,2.78,2.56,0.44,0.31,0.29,0.47,0.57,0.53,0.5,0.49,0.54,0.48,0.55,0.44,0.31,0.3,0.59,0.48,0.53,0.51,0.5,0.54,0.52,0.52
Bahia,1.76,0.82,4.88,3.65,5.24,4.35,15.0,10.29,96.41,83.71,51.24,33.0,56.76,43.24,1.0,0.25,9.0,5.82,6.0,4.53,1.2,1.27,6.71,7.59,9.76,7.06,12.76,14.29,2.47,3.47,2.24,2.94,0.53,0.27,0.24,0.5,0.54,0.54,0.5,0.52,0.51,0.51,0.53,0.53,0.28,0.24,0.56,0.51,0.55,0.5,0.53,0.51,0.51,0.53,Brasileirao Betano Serie A,2025,1.81,1.0,6.06,4.18,6.12,5.65,15.24,11.65,91.24,82.65,50.53,40.29,46.24,53.76,0.8,0.2,9.71,6.94,5.53,4.59,2.18,1.12,7.47,8.06,10.0,8.5,13.35,11.0,2.76,3.41,3.0,2.5,0.45,0.3,0.28,0.5,0.54,0.54,0.5,0.51,0.53,0.5,0.54,0.46,0.31,0.29,0.56,0.51,0.54,0.51,0.51,0.53,0.5,0.54
Botafogo,2.0,1.25,5.71,4.06,6.53,4.88,16.53,11.35,93.06,84.35,43.35,32.82,52.18,47.82,0.67,0.33,10.35,5.53,5.35,5.35,1.94,1.56,6.65,8.47,12.0,7.62,14.0,10.29,2.12,4.41,2.47,3.0,0.56,0.27,0.21,0.47,0.57,0.53,0.5,0.51,0.52,0.51,0.53,0.57,0.27,0.22,0.59,0.48,0.53,0.51,0.51,0.53,0.5,0.54,Brasileirao Betano Serie A,2025,0.77,1.15,5.24,3.94,5.59,5.35,12.82,12.71,96.59,94.29,43.35,37.47,48.94,51.06,1.0,0.0,7.41,7.65,5.35,5.06,1.88,0.88,7.65,7.88,8.59,8.47,12.12,15.18,2.94,2.82,2.0,2.41,0.41,0.31,0.32,0.49,0.55,0.53,0.5,0.5,0.53,0.49,0.54,0.42,0.31,0.33,0.57,0.51,0.53,0.51,0.51,0.54,0.49,0.55
Bragantino,1.35,1.35,5.06,5.24,5.94,4.82,14.88,12.59,93.53,93.59,43.71,42.06,47.47,52.53,0.75,0.25,8.88,7.24,5.88,5.35,1.0,0.94,7.35,9.76,10.06,8.71,13.18,12.59,3.53,3.12,2.65,2.71,0.43,0.3,0.3,0.5,0.53,0.54,0.49,0.51,0.52,0.5,0.53,0.44,0.3,0.31,0.56,0.51,0.53,0.51,0.51,0.53,0.51,0.53,Brasileirao Betano Serie A,2025,1.59,1.0,6.76,4.0,7.18,3.94,17.06,10.0,103.76,88.71,47.35,35.76,53.71,46.29,0.0,1.0,10.76,6.18,6.29,3.76,1.71,1.65,6.29,8.82,11.56,6.94,14.0,14.88,2.53,3.65,2.47,3.24,0.51,0.29,0.24,0.51,0.53,0.55,0.49,0.51,0.52,0.51,0.52,0.52,0.29,0.24,0.56,0.51,0.55,0.49,0.51,0.52,0.52,0.52
Ceará,1.06,0.75,4.81,5.31,5.81,4.38,13.31,10.0,91.25,94.88,38.19,40.38,44.75,55.25,1.0,0.0,7.56,5.81,5.69,4.19,2.38,1.62,7.12,6.44,9.2,7.8,14.62,16.0,2.69,3.25,2.0,3.19,0.41,0.32,0.3,0.46,0.58,0.51,0.52,0.49,0.55,,,0.42,0.33,0.31,0.61,0.47,0.51,0.53,0.49,0.56,,,Brasileirao Betano Serie A,2025,1.2,0.93,5.88,3.47,5.53,4.76,13.53,10.76,105.29,76.71,47.82,23.47,59.59,40.41,1.0,0.0,7.41,6.12,5.18,4.41,2.75,2.25,6.59,9.29,10.06,8.47,12.65,13.76,3.24,3.18,2.0,2.65,0.53,0.29,0.21,0.46,0.58,0.54,0.5,0.5,0.53,0.52,0.55,0.54,0.29,0.22,0.61,0.47,0.52,0.53,0.5,0.54,0.5,0.54
Corinthians,1.6,1.0,5.29,4.24,5.88,4.18,13.53,10.18,104.44,80.75,48.0,32.44,57.53,42.47,0.56,0.44,8.88,5.53,4.76,4.65,2.36,1.64,6.47,8.65,8.94,7.12,13.76,15.88,2.18,2.76,2.53,3.47,0.46,0.31,0.26,0.46,0.58,0.52,0.52,0.5,0.53,0.5,0.53,0.47,0.31,0.27,0.6,0.47,0.51,0.53,0.5,0.54,0.49,0.54,Brasileirao Betano Serie A,2025,1.5,0.88,4.71,3.88,5.71,3.88,14.18,9.06,89.35,88.47,38.94,29.76,47.29,52.71,0.83,0.17,8.35,5.35,5.82,3.71,1.93,1.27,5.0,8.18,9.29,6.41,18.18,14.41,2.18,2.71,3.59,3.47,0.45,0.31,0.27,0.45,0.59,0.52,0.51,0.5,0.54,0.49,0.54,0.47,0.32,0.28,0.61,0.46,0.52,0.52,0.5,0.54,0.49,0.54
Cruzeiro,2.0,0.8,6.82,4.53,6.47,4.35,15.18,10.76,91.29,88.94,48.94,34.71,48.47,51.53,0.8,0.2,8.88,6.24,6.35,4.53,1.35,1.24,6.82,9.82,10.94,7.62,14.18,13.35,3.06,4.06,3.0,3.38,0.55,0.27,0.21,0.47,0.57,0.52,0.51,0.5,0.53,0.52,0.52,0.56,0.28,0.22,0.59,0.49,0.52,0.52,0.51,0.53,0.52,0.52,Brasileirao Betano Serie A,2025,1.0,1.46,5.29,4.94,6.76,4.94,14.94,12.24,101.47,87.71,52.12,34.94,53.47,46.53,,,8.82,7.0,6.0,5.12,1.29,1.41,6.76,9.35,10.18,8.18,15.94,13.71,3.06,3.47,2.53,2.82,0.41,0.31,0.31,0.48,0.55,0.53,0.51,0.51,0.52,0.49,0.54,0.42,0.31,0.32,0.58,0.5,0.53,0.51,0.51,0.53,0.5,0.54
Flamengo,2.8,0.53,6.82,3.76,5.41,3.71,16.82,8.94,110.82,62.06,55.71,27.88,61.88,38.12,0.83,0.17,10.76,5.0,5.94,4.0,1.19,1.5,4.47,7.24,10.5,6.31,14.35,12.76,2.35,3.82,2.0,2.44,0.7,0.22,0.12,0.43,0.62,0.53,0.5,0.51,0.53,0.52,0.52,0.7,0.23,0.13,0.63,0.44,0.53,0.51,0.51,0.54,0.52,0.52,Brasileirao Betano Serie A,2025,0.94,1.75,3.88,5.94,4.06,5.65,10.41,13.71,72.53,115.41,31.76,58.94,36.94,63.06,0.6,0.6,5.65,8.76,4.82,4.94,1.8,1.2,7.59,5.71,7.35,9.35,13.59,13.65,2.94,2.59,2.75,2.69,0.2,0.28,0.55,0.46,0.58,0.53,0.51,0.51,0.53,0.52,0.52,0.21,0.29,0.56,0.6,0.47,0.54,0.5,0.51,0.53,0.5,0.54
Fluminense,1.35,0.65,5.53,3.53,6.24,3.53,14.65,8.76,104.24,88.06,52.06,33.0,53.76,46.24,0.67,0.33,9.47,5.82,5.12,2.94,0.94,1.88,5.94,7.82,9.59,5.76,13.53,14.47,1.82,3.12,1.94,3.0,0.52,0.3,0.22,0.44,0.6,0.52,0.52,0.5,0.54,0.51,0.53,0.53,0.3,0.23,0.62,0.45,0.52,0.52,0.5,0.54,0.5,0.54,Brasileirao Betano Serie A,2025,1.8,1.13,5.88,3.53,4.65,4.06,12.12,9.76,95.65,88.53,37.12,33.41,47.12,52.88,0.33,0.67,7.12,5.18,4.94,4.65,2.43,1.0,6.76,7.41,8.62,6.5,15.29,12.06,2.18,2.88,2.76,2.24,0.41,0.32,0.3,0.47,0.57,0.52,0.51,0.49,0.55,,,0.43,0.32,0.31,0.59,0.48,0.52,0.52,0.49,0.55,,
Fortaleza,1.25,1.38,7.0,4.65,6.0,4.94,15.76,12.0,96.47,91.0,42.88,36.06,48.59,51.41,1.33,0.0,9.59,7.59,6.12,4.41,2.2,1.93,7.12,8.65,10.65,8.41,13.71,12.29,2.76,3.65,3.24,2.29,0.41,0.3,0.32,0.51,0.53,0.54,0.5,0.52,0.52,0.49,0.54,0.42,0.3,0.32,0.55,0.52,0.54,0.5,0.51,0.53,0.51,0.53,Brasileirao Betano Serie A,2025,2.07,1.13,5.65,4.71,5.47,3.88,15.59,10.82,101.12,83.24,44.06,32.12,57.12,42.88,1.0,0.17,10.41,6.29,5.24,4.41,2.0,1.94,6.12,7.88,10.81,7.38,13.47,14.76,2.76,4.53,1.65,2.71,0.54,0.28,0.22,0.49,0.54,0.52,0.51,0.51,0.52,0.52,0.52,0.54,0.28,0.23,0.57,0.5,0.53,0.5,0.51,0.53,0.52,0.52
