team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
DSC Arminia Bielefeld,2.29,1.14,5.0,4.14,5.57,5.71,13.57,13.71,103.29,91.71,43.57,44.71,53.71,46.29,1.0,0.0,9.29,9.0,4.29,4.71,3.14,2.0,9.0,8.0,10.57,8.57,12.29,14.43,2.71,2.29,2.14,2.29,0.44,0.27,0.32,0.66,0.38,,,,,0.53,0.51,0.45,0.28,0.34,0.41,0.67,,,,,0.53,0.53,Germany Bundesliga 2,2025-2026,2.0,1.8,6.6,6.0,4.6,5.4,15.0,12.6,88.0,100.2,44.4,53.0,49.8,50.2,1.5,1.0,10.2,7.2,4.4,5.4,2.4,1.0,9.2,7.6,12.6,9.2,15.4,12.8,1.6,4.2,2.8,2.8,0.47,0.27,0.29,0.63,0.41,,,,,,,0.49,0.27,0.3,0.44,0.64,,,,,,
Darmstadt 98,2.5,1.0,5.0,5.5,5.33,6.0,14.17,12.17,91.33,86.67,54.0,48.67,48.5,51.5,,,10.17,6.67,3.83,5.67,1.33,1.67,9.0,8.83,9.33,7.33,13.17,13.67,1.67,3.83,2.33,1.33,0.53,0.26,0.25,0.64,0.4,,,,,,,0.54,0.26,0.27,0.43,0.65,,,,,,,Germany Bundesliga 2,2025-2026,1.17,1.5,4.83,4.17,7.0,6.17,15.5,13.5,101.5,88.0,52.33,35.33,48.83,51.17,,,8.5,8.67,6.83,4.33,1.8,2.2,7.0,10.17,11.0,9.33,11.67,13.17,3.33,3.83,2.4,1.4,0.4,0.28,0.35,0.63,0.4,,,,,0.53,0.5,0.42,0.28,0.36,0.43,0.65,,,,,0.55,0.52
Dynamo Dresden,1.0,1.83,5.0,5.83,4.33,4.83,11.0,14.17,89.5,92.5,46.83,42.83,50.67,49.33,0.33,1.0,6.33,10.83,3.33,3.33,2.67,1.5,7.33,6.67,7.0,8.0,11.17,13.33,2.5,1.5,1.83,2.33,0.38,0.27,0.38,0.64,0.4,,,,,0.53,0.5,0.4,0.28,0.39,0.43,0.64,,,,,0.54,0.51,Germany Bundesliga 2,2025-2026,2.0,1.33,4.67,5.33,5.67,7.17,13.33,15.5,88.83,97.0,51.67,53.0,50.5,49.5,1.0,0.0,9.33,9.0,3.67,6.5,0.67,2.0,8.83,8.17,9.0,10.17,13.83,12.5,3.0,2.5,1.8,2.2,0.49,0.26,0.28,0.64,0.4,,,,,0.54,0.51,0.51,0.27,0.29,0.43,0.64,,,,,,
Eintracht Braunschweig,1.0,2.33,4.33,7.17,4.17,5.0,11.17,18.0,93.67,98.5,31.33,49.67,41.17,58.83,1.0,0.0,6.17,11.5,4.5,6.33,2.0,0.67,8.33,6.17,6.83,10.67,12.5,13.17,3.83,2.67,2.83,3.67,0.32,0.27,0.44,0.62,0.42,,,,,0.52,0.5,0.33,0.28,0.46,0.44,0.64,,,,,0.56,0.5,Germany Bundesliga 2,2025-2026,1.67,1.0,5.33,4.83,4.67,4.0,11.33,11.5,93.33,102.0,44.67,41.5,55.17,44.83,,,7.5,5.83,3.17,5.67,1.5,1.67,6.17,8.0,7.83,5.5,15.33,12.33,3.33,2.17,2.5,2.5,0.56,0.25,0.22,0.61,0.43,,,,,0.52,0.52,0.56,0.26,0.24,0.46,0.62,,,,,0.54,0.52
Elversberg,2.33,0.83,5.5,4.67,5.83,4.33,15.67,10.83,92.67,75.83,54.17,39.0,54.5,45.5,0.67,0.33,10.17,6.67,5.67,3.83,1.67,1.17,6.33,8.5,10.67,6.17,13.33,14.17,2.83,3.17,2.17,2.67,0.5,0.26,0.27,0.63,0.41,,,,,0.55,0.5,0.51,0.26,0.3,0.45,0.63,,,,,0.55,0.5,Germany Bundesliga 2,2025-2026,1.0,1.67,4.83,6.17,4.5,5.0,11.0,13.83,90.83,94.17,41.67,45.0,43.17,56.83,,,8.67,9.17,2.17,4.5,1.5,1.67,7.67,7.17,6.5,8.67,15.67,10.5,2.5,2.33,4.17,3.17,0.38,0.28,0.38,0.63,0.4,,,,,0.5,0.53,0.38,0.29,0.4,0.42,0.65,,,,,0.5,0.56
Fortuna Düsseldorf,0.8,2.2,4.5,3.0,5.33,4.67,12.0,14.17,98.17,86.67,55.33,43.17,54.0,46.0,0.0,1.0,7.0,9.33,5.0,4.67,1.17,2.0,5.67,8.67,7.67,9.83,13.0,12.0,4.17,2.33,3.0,2.6,0.42,0.27,0.34,0.64,0.4,,,,,,,0.43,0.28,0.35,0.42,0.66,,,,,,,Germany Bundesliga 2,2025-2026,1.5,1.0,6.33,4.5,5.5,4.83,16.67,12.83,108.17,92.5,55.5,43.33,56.83,43.17,0.5,0.5,11.17,9.0,5.33,3.83,1.5,1.33,8.33,8.83,10.33,8.83,12.33,11.33,2.83,3.5,2.83,2.67,0.49,0.26,0.28,0.63,0.41,,,,,0.5,0.53,0.5,0.27,0.3,0.44,0.64,,,,,0.51,0.54
Hannover 96,1.5,1.83,7.0,3.5,6.0,6.5,17.5,12.67,109.0,78.33,62.67,36.67,58.0,42.0,1.0,0.5,11.17,8.33,6.17,4.5,1.6,0.4,6.83,7.83,10.83,8.17,14.5,14.33,1.83,3.83,1.83,2.67,0.5,0.27,0.27,0.63,0.41,,,,,0.53,0.51,0.52,0.27,0.27,0.43,0.64,,,,,0.55,0.51,Germany Bundesliga 2,2025-2026,1.17,2.17,3.5,5.0,4.0,5.67,10.0,13.83,79.5,110.5,31.5,51.5,40.0,60.0,0.33,0.67,5.33,10.17,4.67,3.67,0.83,2.33,8.0,6.17,6.67,10.83,14.5,14.67,3.33,2.67,3.0,2.67,0.34,0.27,0.42,0.64,0.4,,,,,0.53,0.5,0.35,0.27,0.44,0.43,0.64,,,,,0.55,0.51
Hertha BSC,1.0,1.0,5.0,5.67,5.17,7.67,11.5,16.67,97.33,101.67,41.17,39.67,46.0,54.0,0.5,0.5,8.83,10.17,2.67,6.5,1.33,1.0,10.0,7.67,9.5,12.0,12.5,8.5,3.67,3.33,3.2,1.8,0.51,0.26,0.26,0.64,0.4,,,,,,,0.52,0.27,0.28,0.44,0.64,,,,,,,Germany Bundesliga 2,2025-2026,1.0,2.0,6.83,3.83,5.17,5.83,14.67,11.67,105.33,88.17,55.33,45.67,54.0,46.0,0.0,1.0,9.5,7.67,5.0,4.0,0.5,2.33,9.17,8.83,8.67,8.83,14.5,15.33,1.5,3.67,3.0,2.67,0.45,0.27,0.32,0.66,0.39,,,,,,,0.45,0.28,0.33,0.41,0.66,,,,,,
Holstein Kiel,1.17,1.0,5.17,4.83,6.5,5.33,14.83,12.5,88.17,108.0,42.5,48.5,53.17,46.83,0.5,0.5,8.17,8.33,6.33,4.17,1.83,1.83,8.33,9.0,10.83,8.5,12.67,15.5,2.33,4.0,1.67,3.5,0.47,0.27,0.29,0.63,0.41,,,,,,,0.48,0.27,0.32,0.44,0.64,,,,,,,Germany Bundesliga 2,2025-2026,1.0,1.0,5.5,4.0,5.33,5.5,13.33,12.33,107.83,83.67,52.83,39.67,49.17,50.83,1.0,0.0,7.83,8.33,5.83,4.0,2.17,1.67,8.67,8.5,9.83,9.0,13.33,15.17,2.5,2.67,2.83,3.5,0.4,0.28,0.36,0.63,0.41,,,,,0.55,0.5,0.4,0.29,0.38,0.43,0.64,,,,,0.55,0.51
Kaiserslautern,2.0,1.0,5.67,3.67,5.5,6.0,15.83,11.83,103.17,93.83,48.5,36.5,49.83,50.17,0.5,1.0,10.67,7.33,5.33,4.5,1.4,1.6,8.0,8.0,11.67,9.33,11.83,13.5,3.0,4.83,2.83,3.5,0.41,0.27,0.34,0.63,0.41,,,,,0.55,0.5,0.42,0.29,0.36,0.43,0.64,,,,,0.54,0.52,Germany Bundesliga 2,2025-2026,1.33,1.33,5.0,4.17,5.83,5.17,14.5,12.0,102.67,97.33,49.83,39.33,55.67,44.33,0.5,0.5,9.17,7.0,5.33,4.83,1.83,1.33,6.83,8.5,11.0,8.33,14.0,12.17,2.83,4.5,3.0,2.83,0.43,0.27,0.33,0.65,0.39,,,,,0.55,0.49,0.45,0.28,0.33,0.42,0.65,,,,,0.56,0.5
Karlsruher SC,2.0,1.17,5.67,5.0,3.33,5.67,12.5,14.67,85.0,87.17,48.0,38.83,48.83,51.17,0.0,1.0,7.83,8.83,4.5,5.83,2.0,1.83,7.5,5.67,8.17,9.33,14.83,13.5,3.5,3.5,3.33,3.83,0.44,0.27,0.33,0.64,0.4,,,,,,,0.45,0.28,0.34,0.42,0.66,,,,,0.55,0.51,Germany Bundesliga 2,2025-2026,2.25,1.5,4.67,5.67,6.5,6.0,14.83,14.33,95.33,93.5,40.0,40.83,50.33,49.67,1.0,0.0,9.17,9.67,5.83,4.5,1.0,1.33,7.33,8.67,10.4,8.2,9.33,12.83,2.67,2.33,1.17,2.17,0.45,0.26,0.32,0.65,0.39,,,,,,,0.48,0.27,0.32,0.42,0.65,,,,,,
Magdeburg,1.0,2.17,4.83,5.0,5.33,3.67,14.83,12.17,115.0,87.0,54.5,40.5,54.83,45.17,0.5,0.5,10.0,7.67,4.67,4.83,3.0,1.17,5.83,9.67,9.67,7.67,14.17,11.67,3.0,3.0,2.83,2.67,0.44,0.26,0.33,0.67,0.37,,,,,,,0.45,0.26,0.35,0.4,0.67,,,,,,,Germany Bundesliga 2,2025-2026,1.8,0.6,5.33,4.83,6.5,6.83,18.5,14.83,88.83,89.5,52.5,42.33,45.17,54.83,0.0,1.0,11.17,8.83,5.83,6.67,0.67,1.33,9.83,7.67,11.67,9.83,13.33,11.83,4.17,4.33,1.83,3.33,0.45,0.26,0.32,0.66,0.37,,,,,,,0.46,0.27,0.33,0.39,0.68,,,,,,
Nürnberg,1.0,1.4,4.83,5.33,4.0,6.17,13.0,13.17,96.5,96.83,45.67,46.33,50.5,49.5,0.0,1.0,8.17,8.17,5.0,4.83,2.0,2.83,9.0,6.5,8.33,8.83,10.83,14.67,2.17,3.33,2.33,3.0,0.42,0.27,0.34,0.64,0.4,,,,,0.54,0.51,0.44,0.28,0.36,0.43,0.65,,,,,0.53,0.53,Germany Bundesliga 2,2025-2026,1.5,1.33,3.17,6.0,3.67,5.33,11.5,13.5,94.5,93.67,49.0,50.5,51.17,48.83,0.0,1.5,8.17,8.5,3.33,4.67,1.6,1.4,6.5,6.83,8.33,9.0,14.5,15.17,4.0,3.5,2.83,3.0,0.44,0.27,0.32,0.63,0.41,,,,,0.51,0.53,0.44,0.28,0.34,0.44,0.64,,,,,0.5,0.56
Paderborn,2.0,1.17,6.0,4.33,5.5,5.17,17.5,13.5,100.33,92.33,48.5,42.17,54.33,45.67,1.0,1.0,12.0,7.83,5.33,5.5,1.83,0.67,9.17,9.67,13.5,9.67,12.33,12.0,2.83,4.17,2.0,2.5,0.56,0.25,0.22,0.62,0.42,,,,,,,0.57,0.26,0.24,0.45,0.63,,,,,,,Germany Bundesliga 2,2025-2026,0.6,1.6,6.0,4.5,4.33,4.33,10.33,14.33,96.0,99.67,45.83,44.83,50.5,49.5,0.5,1.0,6.17,10.17,4.17,4.5,1.0,2.67,7.17,7.0,8.0,8.33,11.5,12.83,3.5,2.67,3.2,2.6,0.29,0.27,0.47,0.63,0.4,,,,,0.54,0.5,0.31,0.27,0.48,0.44,0.64,,,,,0.53,0.53
Preußen Münster,1.83,1.33,4.17,5.5,5.33,4.83,12.83,13.0,86.5,111.17,35.17,47.83,55.5,44.5,0.5,0.5,7.83,9.83,4.17,3.17,0.33,2.67,6.5,6.5,8.33,6.17,16.83,14.33,3.33,2.5,3.2,3.8,0.39,0.29,0.36,0.59,0.45,,,,,0.52,0.52,0.4,0.3,0.38,0.48,0.6,,,,,0.52,0.54,Germany Bundesliga 2,2025-2026,2.17,1.0,4.5,4.17,4.5,4.5,13.5,11.67,97.33,87.0,43.33,29.67,37.0,63.0,1.0,0.0,9.83,6.67,3.17,4.83,3.67,1.83,6.83,7.67,8.33,7.33,15.83,13.0,2.67,2.33,2.67,3.5,0.46,0.27,0.3,0.61,0.43,,,,,0.54,0.49,0.47,0.28,0.31,0.45,0.62,,,,,0.55,0.51
Schalke 04,1.17,0.5,6.33,6.17,6.0,3.67,13.83,8.83,105.83,82.83,51.83,37.33,44.67,55.33,0.0,1.0,10.17,5.17,3.33,3.83,2.17,3.83,5.5,8.67,9.83,5.67,13.67,11.83,1.83,3.17,3.0,2.0,0.44,0.28,0.32,0.61,0.43,,,,,0.53,0.5,0.45,0.28,0.33,0.45,0.62,,,,,0.54,0.52,Germany Bundesliga 2,2025-2026,0.67,1.5,4.33,4.5,3.33,5.33,9.17,12.17,99.0,87.83,47.0,41.17,63.33,36.67,0.25,0.75,6.67,8.33,2.67,3.67,6.33,1.5,8.67,5.0,6.83,8.5,11.67,14.5,2.17,1.83,2.33,3.0,0.4,0.28,0.35,0.62,0.42,,,,,0.53,0.5,0.43,0.3,0.36,0.45,0.62,,,,,0.54,0.52
SpVgg Greuther Fürth,1.17,2.17,5.0,6.0,5.0,6.5,11.0,14.83,89.83,93.33,35.0,47.17,43.67,56.33,,,5.83,9.67,5.5,5.17,2.0,2.33,7.5,8.33,8.17,12.17,9.17,14.67,3.0,2.5,1.5,3.67,0.33,0.27,0.43,0.65,0.39,,,,,0.55,0.5,0.36,0.28,0.43,0.42,0.65,,,,,0.56,0.5,Germany Bundesliga 2,2025-2026,2.83,1.83,5.33,4.83,6.33,2.83,16.67,13.33,103.0,74.17,47.67,36.17,53.17,46.83,1.0,0.0,11.33,7.5,5.0,6.0,2.33,0.83,4.67,8.5,12.5,7.83,11.83,14.5,3.33,3.17,2.17,2.67,0.57,0.24,0.22,0.64,0.4,,,,,0.52,0.51,0.58,0.25,0.24,0.43,0.64,,,,,0.56,0.5
VfL Bochum 1848,1.6,1.0,5.8,4.0,6.8,3.8,18.2,8.6,103.8,92.6,61.2,44.2,47.2,52.8,0.0,1.0,14.8,5.2,3.0,3.4,1.2,1.6,9.2,10.2,10.8,7.6,18.4,10.4,2.6,3.6,4.4,3.6,0.42,0.27,0.34,0.64,0.4,,,,,0.54,0.49,0.43,0.29,0.35,0.42,0.65,,,,,0.56,0.5,Germany Bundesliga 2,2025-2026,1.86,1.14,7.71,6.71,7.0,5.86,19.57,12.57,106.0,81.14,50.86,42.71,55.43,44.57,0.25,0.75,13.43,9.14,6.14,3.71,1.86,2.43,8.29,10.43,12.71,8.29,8.71,11.86,1.57,5.0,1.43,4.0,0.46,0.27,0.31,0.64,0.4,,,,,,,0.46,0.27,0.33,0.43,0.64,,,,,,
