team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AEK Athens,1.0,0.4,5.8,2.0,7.4,2.6,17.0,5.6,100.6,74.8,68.4,29.2,60.8,39.2,1.0,0.0,12.6,2.8,4.4,2.8,1.8,1.2,4.0,9.2,10.8,3.6,15.6,13.2,1.6,3.0,2.8,1.6,0.74,0.19,0.12,0.46,0.59,,,0.56,0.49,0.51,0.52,0.74,0.19,0.13,0.6,0.48,,,0.56,0.5,0.53,0.52,Greece Super Liga,2025-2026,1.0,1.2,3.2,5.4,5.4,5.6,11.6,16.2,78.4,91.0,34.4,61.0,42.8,57.2,1.0,0.5,7.2,10.4,4.2,5.6,1.0,2.6,10.6,8.0,8.8,10.6,13.6,17.2,2.8,2.6,2.8,2.4,0.23,0.23,0.58,0.49,0.56,,,0.54,0.49,0.51,0.52,0.24,0.23,0.59,0.58,0.5,,,0.56,0.5,0.53,0.53
Aris,1.0,1.0,5.6,3.0,6.0,4.6,15.0,11.2,106.4,72.6,52.0,27.4,58.6,41.4,,,7.8,6.2,7.2,4.8,3.4,1.2,7.4,8.2,10.8,8.0,14.2,16.0,3.0,3.4,1.4,4.4,0.58,0.25,0.21,0.48,0.56,,,0.54,0.5,0.5,0.54,0.59,0.25,0.23,0.59,0.49,,,0.54,0.52,0.52,0.54,Greece Super Liga,2025-2026,1.4,1.0,3.6,6.0,3.8,5.4,9.8,11.6,82.6,90.0,41.6,45.2,49.4,50.6,0.0,1.0,7.0,7.4,3.0,4.0,1.2,1.6,8.6,5.0,5.4,9.6,14.0,17.2,3.0,2.0,1.8,1.8,0.4,0.28,0.36,0.49,0.55,0.56,0.48,0.52,0.52,0.52,0.52,0.41,0.27,0.38,0.57,0.5,0.56,0.5,0.52,0.53,0.5,0.56
Asteras Tripolis,2.2,1.6,4.8,3.0,3.6,4.0,10.6,13.0,64.6,72.0,42.4,38.2,46.8,53.2,0.0,1.33,7.2,8.8,3.4,4.2,2.6,2.0,6.8,7.8,8.2,7.8,11.4,15.6,3.0,2.6,4.6,3.6,0.42,0.29,0.33,0.52,0.52,0.55,0.49,0.54,0.5,0.51,0.54,0.44,0.29,0.34,0.55,0.52,0.56,0.5,0.53,0.52,0.51,0.54,Greece Super Liga,2025-2026,1.8,0.4,6.0,3.67,6.67,2.5,14.5,7.33,99.33,79.17,49.33,28.67,55.17,44.83,0.5,0.5,9.17,4.17,5.0,3.0,2.0,2.17,4.83,8.67,9.5,5.17,17.5,15.0,2.33,1.83,2.67,3.67,0.64,0.23,0.17,0.46,0.59,0.56,0.47,0.52,0.52,0.53,0.51,0.65,0.23,0.17,0.6,0.47,,,0.53,0.53,0.54,0.51
Atromitos,1.0,1.6,3.4,4.8,6.0,4.0,14.2,10.4,87.0,83.2,48.0,34.8,56.6,43.4,1.0,0.0,8.2,6.2,6.2,4.2,1.4,2.2,6.2,7.8,7.8,8.4,13.8,16.0,2.8,2.2,2.4,3.2,0.36,0.32,0.35,0.52,0.53,0.56,0.48,0.51,0.52,0.5,0.56,0.38,0.31,0.37,0.55,0.52,0.56,0.5,0.52,0.54,0.53,0.53,Greece Super Liga,2025-2026,1.17,1.0,4.5,3.83,9.17,3.17,19.33,7.67,107.67,70.17,58.0,31.33,56.0,44.0,1.0,0.0,12.17,4.67,7.17,3.0,1.5,1.5,4.17,13.5,11.17,5.0,13.5,17.0,1.17,3.0,1.5,2.83,0.57,0.25,0.22,0.49,0.56,0.55,0.5,0.53,0.51,0.53,0.5,0.57,0.25,0.23,0.56,0.51,0.55,0.51,0.53,0.53,0.54,0.52
Kifisia,1.4,2.0,3.2,5.4,4.4,5.0,10.4,13.2,65.8,94.6,32.8,56.2,33.8,66.2,0.25,1.25,6.8,8.6,3.4,4.2,0.6,3.2,8.0,7.2,6.8,10.0,17.2,17.2,2.4,2.0,4.0,3.0,0.23,0.24,0.58,0.48,0.56,0.56,0.48,0.52,0.51,0.52,0.52,0.23,0.25,0.58,0.59,0.49,0.56,0.5,0.52,0.54,0.52,0.54,Greece Super Liga,2025-2026,1.6,2.0,3.6,5.6,5.4,6.2,12.2,17.6,60.4,75.6,33.0,40.6,49.8,50.2,1.0,1.0,6.6,9.8,5.6,8.0,3.5,1.75,9.0,8.4,9.0,11.4,12.8,19.8,5.2,2.2,3.2,4.6,0.43,0.32,0.28,0.5,0.55,0.47,0.56,0.52,0.52,0.49,0.56,0.45,0.32,0.29,0.56,0.51,0.53,0.53,0.52,0.54,0.5,0.56
Larissa,0.8,2.2,4.0,6.0,6.0,6.4,12.6,17.0,73.0,77.6,31.0,41.0,44.8,55.2,0.5,0.5,6.4,10.4,6.2,6.6,1.6,2.0,8.6,7.0,9.4,11.6,14.0,16.6,4.6,2.8,3.6,2.6,0.25,0.28,0.51,0.47,0.57,0.51,0.52,0.51,0.53,0.52,0.52,0.26,0.28,0.52,0.59,0.49,0.53,0.53,0.5,0.56,0.54,0.52,Greece Super Liga,2025-2026,1.4,1.0,4.0,3.0,6.2,6.2,12.2,12.8,92.4,89.2,49.2,36.8,55.2,44.8,1.0,0.33,8.0,6.4,4.2,6.4,2.0,2.4,8.2,8.6,8.6,9.8,12.2,14.4,2.8,2.2,2.0,3.2,0.53,0.28,0.23,0.5,0.55,0.55,0.49,0.51,0.53,0.48,0.56,0.54,0.29,0.23,0.56,0.51,0.56,0.5,0.51,0.55,0.51,0.54
Levadiakos,3.17,1.0,5.5,4.5,5.33,4.17,15.33,9.17,111.0,71.0,50.5,34.17,64.67,35.33,1.67,0.33,9.67,6.0,5.5,3.17,1.6,1.0,6.67,7.83,12.17,6.83,11.83,17.0,2.0,3.33,1.33,3.0,0.49,0.27,0.27,0.5,0.55,0.56,0.48,0.52,0.51,0.51,0.53,0.51,0.27,0.27,0.57,0.5,0.56,0.5,0.53,0.53,0.5,0.55,Greece Super Liga,2025-2026,1.5,1.75,5.25,5.5,7.0,3.75,15.25,8.5,103.5,82.0,49.25,32.25,47.75,52.25,,,7.5,5.0,7.75,3.5,0.5,2.0,5.5,7.75,10.0,6.25,14.25,13.5,1.75,2.25,3.0,2.5,0.52,0.25,0.28,0.49,0.56,,,0.53,0.51,0.51,0.54,0.53,0.24,0.29,0.58,0.5,,,0.5,0.56,0.53,0.52
OFI,1.2,1.8,2.8,5.4,3.8,5.6,8.8,16.4,70.2,101.0,27.2,60.0,40.4,59.6,0.0,1.0,3.8,9.8,5.0,6.6,1.6,3.4,10.2,7.2,5.4,11.6,15.6,17.8,4.0,1.2,2.4,2.2,0.3,0.26,0.49,0.52,0.52,,,0.54,0.5,0.49,0.54,0.31,0.25,0.5,0.53,0.53,,,0.51,0.54,0.51,0.55,Greece Super Liga,2025-2026,2.75,0.75,6.0,4.25,6.0,2.75,15.25,10.0,82.25,54.5,54.0,28.25,58.0,42.0,1.0,1.0,8.25,6.25,7.0,3.75,4.25,1.5,4.75,9.25,10.0,6.75,13.75,12.75,3.25,2.0,2.25,3.25,0.48,0.28,0.28,0.55,0.5,0.56,0.48,0.52,0.52,0.5,0.54,0.5,0.28,0.29,0.51,0.56,0.56,0.5,0.55,0.51,0.51,0.55
Olympiacos F.C.,2.83,0.5,8.17,3.0,8.67,1.5,20.0,5.67,120.33,60.83,75.17,21.67,63.0,37.0,0.75,0.25,13.5,3.17,6.5,2.5,2.17,2.33,4.5,10.17,12.0,3.17,9.5,13.67,1.33,3.5,1.17,2.83,0.8,0.17,0.08,0.42,0.63,,,0.55,0.5,0.53,0.51,0.79,0.18,0.09,0.64,0.44,,,0.55,0.51,0.54,0.52,Greece Super Liga,2025-2026,0.8,1.8,1.6,6.2,2.6,4.4,7.6,12.8,70.8,99.8,27.6,50.4,41.0,59.0,0.33,1.0,4.8,9.0,2.8,3.6,2.0,2.0,8.2,4.2,4.8,9.0,14.2,16.2,3.0,2.4,3.6,1.8,0.18,0.24,0.63,0.48,0.57,0.56,0.48,0.52,0.52,0.53,0.51,0.19,0.25,0.61,0.59,0.49,0.56,0.5,0.54,0.51,0.53,0.52
PAOK,1.75,0.25,6.8,1.4,7.8,2.4,17.4,4.4,127.0,65.8,71.4,19.8,66.4,33.6,1.0,0.0,10.4,2.8,7.0,1.6,2.0,1.8,3.4,11.0,12.2,4.2,10.6,15.0,1.4,4.0,1.8,3.6,0.7,0.2,0.14,0.45,0.6,0.56,0.49,0.53,0.51,0.55,0.49,0.7,0.21,0.15,0.61,0.46,0.56,0.5,0.54,0.51,0.56,0.5,Greece Super Liga,2025-2026,1.2,2.6,3.8,3.6,2.8,4.2,8.4,12.2,71.6,104.0,31.4,49.6,40.2,59.8,0.0,1.5,5.2,7.6,3.2,4.6,2.2,2.4,8.2,6.2,6.8,7.4,12.8,13.0,1.6,2.4,3.75,2.25,0.22,0.24,0.59,0.52,0.53,,,0.56,0.48,0.51,0.52,0.22,0.24,0.59,0.54,0.54,,,0.56,0.5,0.52,0.53
