team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AVS,0.67,2.0,2.33,4.17,4.33,4.5,11.17,12.33,89.67,89.67,36.83,41.5,47.0,53.0,0.5,0.75,7.0,9.17,4.0,3.17,0.8,1.2,7.5,9.0,7.5,8.0,16.5,15.17,2.5,3.0,2.33,3.67,0.24,0.27,0.52,0.47,0.57,0.56,0.48,0.48,0.55,,,0.25,0.28,0.53,0.6,0.48,0.56,0.49,0.49,0.55,,,Liga Portugal,2025-2026,2.6,0.8,6.0,4.6,6.6,5.2,15.2,9.8,107.6,87.2,45.6,35.6,58.8,41.2,1.0,0.0,10.8,5.6,4.4,4.2,1.8,1.4,9.4,11.4,11.2,7.0,10.8,15.0,1.6,2.4,2.6,1.6,0.61,0.25,0.18,0.47,0.58,0.55,0.49,0.51,0.52,0.51,0.52,0.62,0.26,0.19,0.61,0.46,0.55,0.5,0.52,0.53,0.51,0.53
Alverca,0.83,1.67,3.67,4.17,4.33,4.5,11.17,12.33,73.67,100.17,45.83,47.67,47.5,52.5,0.5,0.5,7.17,5.17,4.0,7.17,1.33,0.67,8.33,6.67,6.83,9.33,13.67,15.0,2.83,3.17,2.5,2.17,0.31,0.28,0.45,0.5,0.55,0.55,0.48,0.51,0.52,0.49,0.54,0.32,0.28,0.46,0.57,0.5,0.53,0.52,0.5,0.55,0.5,0.55,Liga Portugal,2025-2026,1.8,1.4,5.8,1.8,6.0,3.0,15.0,7.2,105.4,74.8,52.2,29.8,57.0,43.0,0.5,0.5,10.4,3.4,4.6,3.6,1.2,1.0,4.6,8.2,9.4,5.0,14.8,13.2,1.2,3.0,3.4,2.6,0.54,0.26,0.24,0.46,0.58,0.55,0.49,0.49,0.55,,,0.54,0.27,0.24,0.61,0.47,0.55,0.5,0.49,0.55,,
Arouca,1.17,2.17,4.83,5.67,5.0,4.67,10.5,12.5,90.33,75.33,33.5,37.67,54.5,45.5,,,6.83,9.17,3.5,3.33,0.8,2.6,7.67,9.83,8.0,8.67,15.0,14.33,2.33,2.33,3.33,2.5,0.36,0.27,0.4,0.52,0.52,0.56,0.47,0.52,0.51,0.49,0.54,0.37,0.28,0.41,0.55,0.52,0.56,0.49,0.53,0.51,0.5,0.55,Liga Portugal,2025-2026,3.4,1.2,6.0,2.2,5.6,4.0,16.4,8.2,107.8,69.6,48.6,26.0,53.6,46.4,2.0,0.0,10.6,3.6,5.8,4.6,3.6,1.0,5.4,11.2,12.8,6.0,10.8,14.6,1.0,3.6,2.4,1.8,0.62,0.23,0.19,0.52,0.52,0.56,0.47,0.52,0.52,0.49,0.54,0.63,0.23,0.21,0.55,0.52,0.56,0.48,0.52,0.52,0.5,0.54
Benfica,2.33,0.83,7.17,3.17,6.33,2.5,17.5,8.33,128.33,75.17,74.83,28.5,63.17,36.83,1.67,0.33,12.17,5.0,5.33,3.33,2.33,0.83,5.0,10.83,12.0,4.67,11.5,14.33,3.17,4.67,2.33,2.33,0.83,0.14,0.07,0.42,0.62,,,0.55,0.48,0.48,0.55,0.83,0.15,0.08,0.63,0.44,,,0.56,0.49,0.49,0.56,Liga Portugal,2025-2026,0.25,2.25,3.6,3.2,5.0,5.0,10.4,13.4,75.6,101.8,31.8,46.2,42.4,57.6,0.0,1.0,5.8,8.0,4.4,5.4,0.75,1.0,7.4,9.4,7.6,8.2,14.0,13.8,2.4,2.8,3.4,3.2,0.17,0.18,0.69,0.46,0.58,,,0.54,0.49,0.5,0.53,0.18,0.2,0.69,0.59,0.48,,,0.56,0.49,0.5,0.54
Casa Pia,1.2,2.4,4.0,4.8,3.6,4.6,9.4,13.8,92.6,79.8,39.2,36.8,51.0,49.0,0.5,1.0,5.0,9.2,4.4,4.6,1.0,1.2,6.2,6.8,6.8,8.2,15.8,17.4,2.2,2.2,2.4,2.4,0.32,0.29,0.43,0.49,0.55,0.56,0.48,0.5,0.54,0.52,0.52,0.33,0.29,0.43,0.56,0.51,0.55,0.49,0.51,0.53,0.52,0.52,Liga Portugal,2025-2026,2.0,1.17,5.17,3.83,5.5,4.0,14.17,9.33,100.83,68.83,50.67,26.33,60.5,39.5,1.0,0.33,8.33,6.17,5.67,3.17,3.33,1.5,6.67,9.5,10.33,7.0,14.33,14.67,2.0,3.17,3.0,3.83,0.61,0.23,0.19,0.45,0.6,0.56,0.47,0.47,0.56,0.54,0.49,0.62,0.24,0.2,0.6,0.46,0.55,0.5,0.48,0.56,0.5,0.55
Estoril,1.5,1.33,4.83,5.33,5.67,5.0,12.83,10.83,101.83,90.33,44.17,33.83,53.17,46.83,0.5,0.5,8.83,6.33,4.0,4.5,1.17,3.67,10.67,11.0,9.5,8.83,12.5,13.0,2.5,3.0,3.83,1.67,0.4,0.27,0.36,0.52,0.52,0.52,0.51,0.52,0.51,0.5,0.54,0.41,0.27,0.38,0.56,0.52,0.5,0.55,0.53,0.51,0.52,0.53,Liga Portugal,2025-2026,1.8,2.0,3.4,3.8,6.2,6.4,11.8,14.6,97.8,92.6,48.0,47.6,49.8,50.2,0.75,0.25,8.0,9.2,3.8,5.4,3.6,1.8,8.4,7.6,8.6,9.8,13.2,13.4,2.6,1.4,2.4,2.4,0.44,0.3,0.3,0.54,0.5,0.56,0.48,0.53,0.5,0.5,0.54,0.45,0.31,0.3,0.52,0.55,0.55,0.5,0.53,0.51,0.5,0.54
Estrela Amadora,1.17,1.33,4.33,4.17,7.0,6.0,14.17,11.67,77.5,89.67,36.17,34.0,55.5,44.5,0.67,0.33,7.33,7.83,6.83,3.83,1.6,0.8,7.83,11.5,9.83,8.17,13.5,18.83,1.83,2.33,3.0,3.33,0.33,0.29,0.42,0.5,0.54,0.54,0.49,0.5,0.53,,,0.34,0.29,0.43,0.57,0.5,0.55,0.5,0.5,0.54,,,Liga Portugal,2025-2026,2.0,2.0,5.4,3.0,3.4,3.4,12.6,9.4,106.8,61.8,51.8,30.0,54.8,45.2,2.0,1.0,7.4,5.0,5.2,4.4,2.0,1.8,5.2,8.6,7.4,6.8,15.0,15.2,2.6,4.0,2.8,2.4,0.52,0.3,0.22,0.47,0.57,0.54,0.5,0.51,0.52,0.48,0.55,0.54,0.3,0.22,0.59,0.49,0.54,0.51,0.52,0.52,0.49,0.56
Famalicão,1.5,0.75,4.5,5.0,4.67,5.17,12.83,12.17,85.5,89.67,43.33,37.17,48.0,52.0,,,8.67,7.33,4.17,4.67,1.6,3.6,7.33,8.33,8.5,8.67,20.33,15.33,3.67,3.0,3.5,2.5,0.41,0.27,0.36,0.5,0.54,0.52,0.51,0.51,0.53,0.51,0.52,0.42,0.27,0.37,0.55,0.53,0.53,0.51,0.51,0.54,0.52,0.52,Liga Portugal,2025-2026,0.4,1.0,3.8,8.0,4.6,5.6,10.6,14.0,83.4,82.6,38.0,56.8,47.4,52.6,1.0,0.0,5.4,10.2,5.0,3.8,1.8,1.6,7.8,9.2,7.0,7.0,17.6,17.6,2.4,2.8,2.2,3.0,0.26,0.3,0.48,0.52,0.52,0.55,0.48,0.51,0.52,0.5,0.54,0.27,0.3,0.49,0.55,0.52,0.56,0.48,0.51,0.54,0.5,0.54
Gil Vicente,1.4,0.4,3.2,3.0,5.4,6.0,13.2,12.4,84.2,89.6,46.4,44.0,43.8,56.2,2.5,0.0,8.0,7.2,5.2,5.2,0.6,1.2,8.0,7.6,8.4,8.4,14.4,14.8,2.8,2.2,1.8,2.8,0.41,0.29,0.33,0.45,0.59,0.52,0.52,0.52,0.52,0.51,0.52,0.43,0.29,0.33,0.62,0.46,0.54,0.5,0.52,0.52,0.52,0.52,Liga Portugal,2025-2026,0.6,1.8,3.83,6.17,5.5,5.17,11.33,14.0,88.0,84.17,43.33,35.33,52.83,47.17,1.0,0.33,8.5,7.83,2.83,6.0,1.5,1.5,6.0,8.0,8.33,7.83,13.83,17.17,3.83,3.83,2.5,3.83,0.45,0.28,0.3,0.47,0.57,0.51,0.52,0.49,0.55,0.48,0.55,0.46,0.29,0.32,0.6,0.48,0.53,0.51,0.5,0.55,0.5,0.55
Moreirense,2.0,1.0,4.8,5.4,4.0,6.4,11.0,13.8,82.4,93.0,36.6,45.8,50.6,49.4,0.0,1.0,6.8,7.8,4.2,5.8,1.6,2.6,8.4,5.0,7.6,10.2,14.4,12.6,3.4,2.0,3.4,2.0,0.37,0.28,0.38,0.48,0.56,0.56,0.47,0.49,0.54,0.55,0.49,0.39,0.28,0.39,0.58,0.49,0.55,0.49,0.49,0.56,0.51,0.53,Liga Portugal,2025-2026,1.67,1.0,4.17,2.67,5.17,3.17,14.67,7.67,114.67,67.67,53.17,27.67,55.83,44.17,1.67,0.0,9.33,4.83,5.33,2.83,0.6,1.4,4.67,9.17,10.33,5.0,15.0,15.0,1.0,3.5,2.17,2.5,0.55,0.27,0.22,0.47,0.58,0.48,0.55,0.5,0.52,0.52,0.51,0.56,0.28,0.23,0.61,0.46,0.52,0.52,0.5,0.55,0.52,0.52
