team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Athletic Club,1.14,0.86,6.0,3.57,5.14,2.43,14.29,6.57,118.86,81.71,54.86,31.71,52.71,47.29,1.0,0.0,9.29,3.71,5.0,2.86,0.71,4.86,4.14,9.86,10.0,5.0,14.29,13.71,2.14,3.43,1.14,3.14,0.62,0.26,0.15,0.44,0.6,0.52,0.5,0.49,0.54,0.52,0.52,0.62,0.27,0.16,0.62,0.45,0.53,0.52,0.5,0.54,0.52,0.53,Spain La Liga,2025-2026,2.2,0.8,5.33,5.33,4.67,4.5,13.17,11.67,82.0,96.33,39.33,45.5,54.0,46.0,,,9.67,8.5,3.5,3.17,3.83,1.67,7.17,6.83,8.0,7.0,12.0,10.5,3.33,3.0,1.33,2.17,0.39,0.29,0.35,0.52,0.51,0.54,0.49,0.51,0.51,0.48,0.55,0.4,0.29,0.36,0.53,0.54,0.55,0.5,0.54,0.51,0.5,0.55
Atlético Madrid,2.57,0.86,9.57,3.29,6.14,4.14,16.0,7.71,105.43,87.14,62.14,32.71,56.71,43.29,1.0,0.0,10.86,4.86,5.14,2.86,2.5,1.33,6.57,9.57,12.14,6.14,10.43,11.0,1.29,4.57,2.0,3.29,0.66,0.21,0.16,0.5,0.53,,,,,0.54,0.5,0.67,0.21,0.17,0.56,0.52,,,0.56,0.49,0.53,0.51,Spain La Liga,2025-2026,1.0,1.2,2.6,4.6,5.4,5.0,11.4,11.4,114.4,101.6,60.8,48.4,47.8,52.2,0.5,0.5,5.6,7.8,5.8,3.6,1.2,1.4,8.4,9.4,8.4,8.4,10.8,12.4,3.4,2.8,2.0,2.5,0.21,0.27,0.55,0.51,0.52,0.56,0.47,0.5,0.52,0.52,0.51,0.22,0.28,0.56,0.55,0.52,,,0.51,0.53,0.53,0.51
Celta de Vigo,1.0,1.57,5.57,4.71,5.29,3.29,11.86,11.71,113.86,89.0,55.57,46.14,54.29,45.71,0.5,0.5,6.86,7.43,5.0,4.29,2.5,2.5,5.86,9.14,8.71,7.57,10.86,12.14,3.14,2.86,1.57,2.71,0.4,0.27,0.35,0.57,0.47,0.53,0.5,0.55,0.48,0.52,0.51,0.41,0.28,0.36,0.49,0.58,0.56,0.49,0.55,0.5,0.53,0.52,Spain La Liga,2025-2026,1.17,1.5,4.67,3.5,5.67,3.83,12.5,10.5,102.0,81.0,48.17,35.33,53.33,46.67,1.0,0.25,8.83,6.67,3.67,3.83,1.8,2.2,6.0,9.67,8.83,7.67,12.17,13.67,2.67,3.67,2.33,2.67,0.37,0.3,0.36,0.55,0.49,0.56,0.47,0.52,0.51,0.51,0.52,0.38,0.31,0.36,0.52,0.55,0.56,0.48,0.53,0.52,0.52,0.52
Deportivo Alavés,1.5,1.17,5.86,3.29,5.0,3.29,12.0,9.57,110.86,88.57,43.71,35.71,52.29,47.71,0.75,0.25,7.71,6.14,4.29,3.43,1.86,1.71,6.0,9.71,7.43,6.14,15.29,15.0,2.29,2.29,1.86,2.57,0.39,0.32,0.32,0.47,0.56,0.53,0.5,0.48,0.55,,,0.4,0.32,0.33,0.59,0.48,0.52,0.53,0.49,0.55,,,Spain La Liga,2025-2026,0.83,0.33,5.0,4.83,4.67,4.33,12.0,10.5,108.83,98.67,49.5,41.83,49.67,50.33,,,6.67,6.17,5.33,4.33,2.0,2.5,6.33,8.83,8.0,7.17,12.83,17.0,3.5,2.33,1.5,3.17,0.49,0.31,0.23,0.44,0.6,0.53,0.5,0.5,0.53,,,0.5,0.31,0.24,0.62,0.45,0.53,0.52,0.5,0.54,0.49,0.56
Elche,1.4,0.6,3.67,2.5,5.0,4.33,13.5,10.0,111.0,76.0,55.5,30.5,65.0,35.0,0.5,0.5,9.67,6.5,3.83,3.5,2.17,1.67,6.67,8.0,8.83,6.0,11.83,16.0,2.33,3.5,1.5,2.33,0.35,0.31,0.36,0.51,0.52,0.55,0.48,0.51,0.52,0.49,0.56,0.37,0.31,0.37,0.55,0.52,0.56,0.49,0.52,0.52,0.49,0.56,Spain La Liga,2025-2026,1.83,1.0,6.33,2.67,5.33,2.83,14.5,8.5,101.83,88.83,46.33,34.5,46.5,53.5,1.0,0.0,8.83,5.17,5.67,3.33,2.2,1.4,4.17,7.17,8.83,5.33,15.83,13.17,2.0,2.83,2.17,2.0,0.6,0.25,0.18,0.47,0.57,0.53,0.5,0.5,0.53,0.55,0.49,0.61,0.26,0.19,0.58,0.5,0.53,0.51,0.5,0.54,0.52,0.52
Espanyol,1.43,1.29,4.57,3.86,5.86,4.71,13.29,12.57,97.86,98.14,53.14,40.14,45.14,54.86,1.0,0.5,8.71,7.57,4.57,5.0,1.57,1.57,6.14,7.71,10.0,8.86,12.0,11.14,3.0,3.57,2.0,3.0,0.37,0.3,0.35,0.52,0.51,0.53,0.5,0.5,0.53,0.52,0.51,0.39,0.3,0.36,0.54,0.54,0.53,0.51,0.51,0.53,0.52,0.52,Spain La Liga,2025-2026,1.5,1.25,4.4,4.0,5.0,6.0,13.8,15.8,111.8,90.4,48.8,46.0,61.8,38.2,0.0,1.0,9.0,9.4,4.8,6.2,0.8,1.0,7.6,7.2,8.0,9.8,11.8,13.8,3.2,3.4,2.0,1.2,0.5,0.27,0.26,0.52,0.51,0.53,0.5,0.51,0.52,0.5,0.54,0.51,0.27,0.27,0.54,0.54,0.5,0.55,0.52,0.53,0.5,0.54
FC Barcelona,3.33,0.5,7.0,3.67,7.5,3.5,20.83,7.5,110.5,73.0,57.83,31.17,67.17,32.83,,,13.17,6.67,7.67,0.83,3.83,3.33,5.0,10.83,14.5,5.5,9.17,11.33,1.83,4.83,0.83,2.0,0.77,0.16,0.1,0.57,0.46,,,,,,,0.78,0.17,0.11,0.49,0.58,,,,,,,Spain La Liga,2025-2026,1.71,2.29,5.57,6.43,2.86,5.71,10.29,19.57,60.57,115.29,32.0,64.43,31.57,68.43,0.6,0.6,8.0,11.71,2.43,7.86,6.0,1.43,7.43,4.14,8.29,12.57,12.43,9.57,5.57,3.14,3.57,2.57,0.2,0.18,0.65,0.61,0.42,,,,,,,0.2,0.19,0.66,0.45,0.62,,,,,,
Getafe,1.2,0.8,4.2,3.8,4.6,4.4,9.4,11.4,101.2,92.2,40.2,38.6,42.4,57.6,0.0,1.0,4.2,6.0,5.2,5.4,2.6,2.4,7.4,7.8,5.8,7.2,17.0,16.0,3.8,1.4,2.6,2.8,0.41,0.31,0.31,0.41,0.62,0.49,0.53,0.52,0.52,0.52,0.51,0.42,0.31,0.32,0.64,0.43,0.52,0.53,,,0.51,0.53,Spain La Liga,2025-2026,1.43,0.86,4.0,5.57,3.57,2.86,9.43,8.71,106.14,94.86,48.0,42.71,60.43,39.57,,,6.29,5.14,3.14,3.43,2.14,2.57,4.57,6.86,7.57,5.86,13.29,14.29,2.0,2.86,1.57,2.43,0.53,0.3,0.2,0.41,0.62,0.49,0.54,,,,,0.54,0.3,0.21,0.64,0.43,0.52,0.53,0.49,0.56,,
Girona,1.17,2.17,6.14,3.86,2.86,7.14,9.71,15.14,92.29,87.57,48.86,39.86,51.43,48.57,1.0,1.0,5.71,10.0,4.0,5.0,1.71,1.29,6.86,5.57,6.57,12.57,9.71,14.57,3.29,2.29,1.86,2.0,0.45,0.3,0.28,0.55,0.49,0.56,0.48,0.52,0.5,0.51,0.52,0.46,0.3,0.29,0.51,0.55,0.5,0.54,0.52,0.52,0.51,0.54,Spain La Liga,2025-2026,2.2,0.8,9.0,2.6,8.4,2.2,19.2,8.6,117.8,70.8,62.6,28.2,57.6,42.4,0.5,0.5,12.4,6.2,6.8,2.4,1.4,2.0,4.8,13.4,13.0,5.6,12.2,11.0,3.4,4.2,0.8,2.2,0.64,0.24,0.16,0.53,0.51,0.5,0.52,,,0.54,0.5,0.65,0.24,0.17,0.54,0.53,0.51,0.53,,,0.54,0.5
Levante,1.2,2.8,4.0,7.6,3.2,7.8,10.0,21.6,73.6,114.6,36.0,64.6,35.6,64.4,0.67,0.33,7.4,15.0,2.6,6.6,2.25,0.5,9.6,5.6,5.8,15.8,11.8,11.4,5.6,2.0,2.0,1.6,0.23,0.23,0.57,0.59,0.45,,,0.55,0.48,0.51,0.52,0.24,0.24,0.57,0.48,0.6,,,0.56,0.49,0.52,0.52,Spain La Liga,2025-2026,1.25,1.25,8.38,2.5,6.75,4.12,15.12,10.38,99.12,81.5,54.5,36.0,59.0,41.0,,,9.88,7.0,5.25,3.5,1.38,2.0,6.38,10.62,9.88,6.0,11.75,13.38,2.0,3.12,2.62,2.12,0.52,0.28,0.23,0.52,0.52,0.54,0.5,0.51,0.52,0.51,0.53,0.53,0.28,0.24,0.54,0.53,0.54,0.5,0.53,0.51,0.52,0.53
