team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Albacete,1.5,1.83,5.0,4.86,7.0,4.71,15.71,13.43,91.43,84.86,48.86,37.29,44.0,56.0,,,10.57,8.29,5.14,5.0,2.71,1.0,7.14,9.29,10.86,9.29,9.86,9.57,3.57,3.71,1.83,1.5,0.48,0.29,0.26,0.56,0.48,0.56,0.47,0.51,0.53,0.51,0.52,0.49,0.3,0.28,0.51,0.58,0.49,0.57,0.52,0.53,0.52,0.54,Spain La Liga 2,2025-2026,2.4,2.4,6.86,4.29,6.43,4.14,15.43,11.86,100.0,85.43,50.43,41.0,57.29,42.71,1.0,0.33,10.86,8.0,4.71,3.86,2.43,1.29,8.0,9.43,11.43,9.0,13.0,12.43,3.57,3.14,2.29,2.43,0.51,0.27,0.26,0.58,0.46,,,0.55,0.48,0.52,0.51,0.53,0.27,0.27,0.49,0.59,,,0.55,0.51,0.54,0.51
Almería,2.71,1.57,8.14,4.14,7.29,4.29,19.14,11.29,95.86,96.14,51.29,34.86,54.86,45.14,1.0,0.0,12.0,7.71,7.14,3.57,1.43,2.57,7.57,10.57,15.71,9.57,13.71,10.71,3.14,5.29,2.43,3.0,0.57,0.26,0.21,0.59,0.45,,,0.53,0.5,0.52,0.52,0.58,0.26,0.23,0.5,0.59,,,0.54,0.51,0.53,0.52,Spain La Liga 2,2025-2026,1.14,1.14,3.57,3.14,4.14,6.0,10.29,12.57,84.57,94.0,34.86,39.14,46.86,53.14,1.0,0.67,7.43,7.29,2.86,5.14,2.83,1.83,6.0,7.0,8.33,8.5,15.0,13.0,1.86,3.29,2.43,3.14,0.37,0.29,0.38,0.59,0.45,,,0.55,0.48,0.52,0.51,0.38,0.29,0.39,0.49,0.59,,,0.56,0.5,0.53,0.53
Burgos,1.8,0.8,3.43,3.43,5.14,3.86,10.57,9.0,92.57,108.29,45.0,36.0,49.29,50.71,1.5,0.0,8.14,4.0,2.43,5.0,1.67,1.17,8.14,8.43,7.71,6.14,13.43,15.0,2.0,1.71,3.29,3.0,0.45,0.32,0.26,0.45,0.59,0.5,0.53,0.49,0.55,,,0.47,0.32,0.27,0.62,0.45,0.51,0.54,0.49,0.57,0.5,0.56,Spain La Liga 2,2025-2026,1.33,2.0,4.71,3.86,5.71,3.71,13.71,8.86,108.14,85.14,48.86,39.43,53.86,46.14,0.0,1.0,9.0,6.14,4.71,2.71,1.14,1.86,6.86,9.43,9.0,6.71,14.0,13.71,1.43,2.71,2.29,2.29,0.44,0.33,0.27,0.43,0.61,0.5,0.53,0.48,0.55,,,0.45,0.33,0.28,0.63,0.44,0.52,0.53,0.5,0.56,,
Castellón,2.0,1.71,8.29,3.86,6.0,3.43,16.57,10.71,108.14,77.86,68.43,30.43,60.57,39.43,0.75,0.25,11.43,6.43,5.14,4.29,2.57,2.29,5.14,9.57,10.57,6.71,13.0,15.71,2.86,3.57,3.57,3.43,0.6,0.24,0.19,0.58,0.46,,,,,0.54,0.51,0.62,0.25,0.21,0.49,0.59,,,,,0.54,0.52,Spain La Liga 2,2025-2026,1.4,1.2,3.71,5.43,4.29,4.43,9.71,11.71,93.0,95.0,34.29,52.14,48.0,52.0,1.0,0.0,6.71,7.14,3.0,4.57,2.0,2.57,10.86,6.57,8.0,7.86,14.57,12.86,3.29,1.86,2.14,2.14,0.42,0.29,0.33,0.6,0.44,,,0.52,0.52,0.48,0.55,0.42,0.29,0.34,0.46,0.61,,,0.52,0.54,0.51,0.55
Ceuta,1.14,0.71,5.0,2.86,4.0,3.0,10.57,8.14,101.0,83.29,55.43,34.43,56.43,43.57,,,7.71,5.14,2.86,3.14,1.86,1.71,5.0,7.14,8.67,4.83,13.14,12.29,1.57,2.57,2.29,1.86,0.39,0.32,0.32,0.52,0.52,0.51,0.52,0.51,0.52,0.5,0.53,0.41,0.31,0.34,0.57,0.52,0.53,0.53,0.53,0.53,0.5,0.55,Spain La Liga 2,2025-2026,2.4,1.0,5.71,3.14,5.14,4.43,13.71,8.14,103.14,82.14,55.0,33.57,52.86,47.14,0.33,0.67,9.14,5.71,4.57,2.43,3.43,2.0,5.71,9.29,9.43,5.43,14.14,13.0,1.0,3.57,2.0,2.57,0.53,0.29,0.23,0.54,0.5,0.55,0.48,0.52,0.51,0.5,0.53,0.54,0.29,0.24,0.54,0.55,0.57,0.49,0.53,0.52,0.54,0.52
Cultural Leonesa,1.0,1.4,4.86,3.71,4.57,4.43,10.43,11.29,91.43,92.29,41.86,45.71,51.29,48.71,0.0,1.0,6.57,7.57,3.86,3.57,2.0,1.71,8.0,7.57,7.0,7.14,13.29,12.0,2.86,2.29,1.0,2.43,0.37,0.29,0.37,0.56,0.48,0.56,0.48,0.51,0.52,0.54,0.49,0.39,0.3,0.38,0.52,0.56,0.56,0.5,0.53,0.52,0.56,0.5,Spain La Liga 2,2025-2026,1.71,1.57,4.86,3.0,7.14,4.57,15.29,11.71,118.0,73.57,53.71,33.0,57.57,42.43,1.0,0.33,10.14,5.71,5.14,5.86,1.8,1.6,5.71,9.14,9.43,9.43,12.43,13.0,3.43,2.71,2.57,1.71,0.59,0.27,0.17,0.5,0.54,0.5,0.53,0.51,0.53,0.52,0.52,0.61,0.27,0.19,0.57,0.52,0.51,0.55,0.52,0.54,0.52,0.54
Cádiz,1.2,0.8,5.14,2.71,5.14,5.86,10.86,10.71,101.0,86.0,50.71,42.29,53.71,46.29,0.0,1.0,6.29,6.57,4.71,3.29,2.33,1.83,7.71,9.29,7.86,7.14,13.71,14.0,1.86,1.86,3.14,2.57,0.46,0.31,0.27,0.48,0.56,0.51,0.52,0.51,0.52,0.51,0.52,0.48,0.31,0.28,0.58,0.5,0.52,0.54,0.55,0.51,0.53,0.53,Spain La Liga 2,2025-2026,1.6,1.0,7.0,4.14,6.57,4.29,15.14,8.14,99.86,81.43,48.29,28.71,56.86,43.14,1.0,0.0,9.29,4.43,5.86,3.71,2.0,1.43,6.0,10.57,10.43,6.43,13.29,14.43,1.57,2.86,2.14,2.14,0.47,0.31,0.27,0.5,0.54,0.54,0.49,0.49,0.54,0.52,0.51,0.48,0.3,0.28,0.57,0.51,0.56,0.5,0.49,0.57,0.53,0.53
Córdoba,1.43,1.43,5.14,3.57,8.29,4.71,16.29,11.0,103.29,78.14,55.14,37.43,56.14,43.86,0.75,0.25,10.0,6.86,6.29,4.14,3.0,3.14,5.14,9.29,11.43,8.29,15.71,14.14,2.29,3.43,3.0,2.43,0.48,0.28,0.28,0.59,0.45,,,0.54,0.49,0.52,0.52,0.49,0.29,0.28,0.49,0.6,,,0.56,0.5,0.53,0.53,Spain La Liga 2,2025-2026,1.5,1.5,5.43,3.71,4.71,4.86,12.43,13.0,76.57,91.86,42.86,40.0,47.57,52.43,1.0,0.0,9.14,6.86,3.57,6.0,3.71,1.86,7.71,7.29,9.71,8.71,15.14,16.43,3.43,4.29,3.17,3.5,0.42,0.3,0.31,0.57,0.47,,,0.54,0.49,0.5,0.53,0.44,0.3,0.32,0.51,0.58,,,0.55,0.51,0.51,0.54
Deportivo La Coruña,2.0,0.4,3.83,3.33,5.67,3.5,12.33,10.17,99.33,87.83,44.5,38.5,53.33,46.67,1.0,1.0,9.0,5.0,3.5,4.83,4.25,1.0,5.67,7.17,9.33,6.33,12.83,13.0,2.5,2.67,2.17,1.67,0.54,0.28,0.22,0.52,0.52,0.56,0.47,0.51,0.52,0.51,0.53,0.54,0.29,0.24,0.54,0.54,0.57,0.49,0.53,0.53,0.51,0.55,Spain La Liga 2,2025-2026,1.38,2.12,4.12,5.0,7.75,5.0,17.0,13.0,100.12,78.5,50.5,32.62,52.25,47.75,0.0,1.0,9.5,9.25,7.5,3.75,1.38,1.62,7.0,8.25,11.88,10.62,12.38,12.0,3.38,4.38,2.88,2.88,0.36,0.31,0.36,0.55,0.49,0.55,0.49,0.51,0.52,0.49,0.54,0.38,0.32,0.37,0.52,0.57,0.56,0.5,0.52,0.53,0.5,0.56
FC Andorra,1.75,1.25,6.17,3.67,5.5,4.67,13.67,11.17,94.33,89.83,47.17,34.0,57.83,42.17,0.0,1.0,7.83,7.17,6.0,4.0,2.4,2.2,8.0,9.33,10.17,7.5,14.17,15.33,2.83,3.67,2.33,3.0,0.47,0.3,0.27,0.53,0.51,0.52,0.52,0.54,0.5,0.5,0.53,0.48,0.3,0.28,0.55,0.54,0.54,0.51,0.54,0.52,0.51,0.54,Spain La Liga 2,2025-2026,1.88,1.12,5.12,3.88,5.0,4.88,13.5,14.88,94.88,95.38,48.75,40.38,44.62,55.38,0.67,0.33,9.5,7.12,4.12,7.75,2.62,2.0,6.12,6.88,10.12,9.38,15.38,14.62,3.62,3.38,2.12,2.88,0.48,0.29,0.26,0.54,0.5,0.54,0.49,0.51,0.52,0.5,0.54,0.5,0.3,0.28,0.54,0.55,0.55,0.52,0.53,0.53,0.51,0.54
