team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Alanyaspor,1.0,0.33,4.6,3.0,5.0,5.2,12.6,10.4,84.2,86.2,37.0,33.6,48.2,51.8,1.0,0.0,8.6,7.0,4.0,3.4,0.8,2.4,6.6,6.8,7.2,7.0,11.6,15.0,3.0,3.4,2.0,2.2,0.34,0.27,0.42,0.59,0.45,,,0.54,0.5,0.54,0.49,0.35,0.28,0.43,0.49,0.59,,,0.51,0.54,0.54,0.52,Turkey Super Lig,2025-2026,1.57,1.29,4.71,3.43,5.29,6.29,13.0,11.71,97.43,71.71,37.57,33.57,55.86,44.14,0.67,0.33,9.0,6.57,4.0,5.14,2.43,1.43,7.86,8.29,8.0,7.0,15.86,12.71,2.14,3.43,2.5,2.83,0.52,0.27,0.25,0.54,0.5,,,0.54,0.49,0.5,0.53,0.52,0.27,0.27,0.54,0.55,,,0.55,0.51,0.51,0.55
Antalyaspor,1.17,2.67,5.33,4.0,4.0,5.67,11.17,14.5,78.5,91.33,33.5,36.67,45.0,55.0,,,8.5,8.67,2.83,5.83,1.83,1.83,7.33,5.17,7.67,10.33,12.0,17.0,2.83,3.33,2.33,2.67,0.36,0.28,0.39,0.56,0.49,,,0.52,0.51,0.5,0.54,0.38,0.29,0.4,0.53,0.56,,,0.54,0.52,0.5,0.55,Turkey Super Lig,2025-2026,1.17,1.0,5.83,3.33,7.67,2.5,17.17,6.5,111.17,64.67,53.33,24.5,59.17,40.83,1.0,0.0,9.5,3.67,7.5,2.83,1.33,1.5,4.67,11.83,12.0,5.0,11.0,11.67,2.17,4.5,2.5,3.33,0.59,0.25,0.19,0.52,0.52,,,0.52,0.5,0.52,0.51,0.61,0.26,0.2,0.56,0.52,,,0.53,0.52,0.53,0.53
Beşiktaş,2.0,1.6,5.8,4.8,3.6,4.8,14.4,11.4,75.2,78.0,41.4,39.4,48.6,51.4,1.0,0.0,10.4,7.2,4.0,4.4,2.0,2.6,6.6,8.8,8.6,9.2,14.6,12.4,2.8,3.8,1.8,3.6,0.61,0.21,0.21,0.59,0.45,,,,,,,0.62,0.22,0.22,0.5,0.58,,,,,,,Turkey Super Lig,2025-2026,1.14,1.57,6.29,4.29,5.71,4.86,11.57,13.43,87.29,85.57,42.14,37.0,46.14,53.86,0.5,0.5,7.29,10.57,4.29,2.86,1.43,2.43,5.86,9.0,7.86,8.57,11.71,14.86,3.43,1.86,1.86,2.57,0.31,0.26,0.47,0.61,0.43,,,,,0.54,0.5,0.31,0.26,0.49,0.46,0.62,,,,,0.54,0.52
Eyüpspor,1.0,1.5,5.43,5.57,5.71,6.0,11.57,12.86,77.43,85.43,40.71,45.86,53.0,47.0,0.0,1.0,7.86,8.29,3.71,4.71,2.57,1.86,7.0,9.0,9.14,8.43,10.43,13.86,2.29,3.14,2.0,1.57,0.4,0.27,0.37,0.56,0.48,,,0.54,0.51,0.51,0.53,0.41,0.28,0.38,0.52,0.57,,,0.53,0.52,0.51,0.54,Turkey Super Lig,2025-2026,1.4,0.2,7.0,2.83,4.0,4.67,13.17,11.17,92.67,76.67,37.33,36.0,50.67,49.33,1.0,0.0,9.33,5.5,3.83,5.83,2.67,3.83,8.5,7.17,8.83,7.5,18.0,12.83,2.83,4.33,3.0,2.67,0.53,0.26,0.24,0.57,0.47,,,0.55,0.48,0.52,0.51,0.54,0.26,0.26,0.51,0.58,,,0.54,0.52,0.53,0.53
Fatih Karagümrük,1.0,1.86,3.43,5.29,5.43,3.71,11.0,13.0,98.0,95.71,36.71,38.29,51.86,48.14,0.67,0.67,6.57,7.0,4.43,6.0,2.43,1.86,8.29,8.43,6.0,9.14,15.43,16.0,3.57,1.71,1.86,2.71,0.31,0.29,0.43,0.57,0.46,,,0.54,0.5,0.52,0.51,0.33,0.29,0.45,0.51,0.58,,,0.55,0.51,0.53,0.53,Turkey Super Lig,2025-2026,1.83,1.0,6.33,4.67,7.17,5.33,16.0,12.17,98.83,79.0,46.0,38.0,57.67,42.33,1.0,0.0,11.33,5.33,4.83,6.83,2.0,2.17,7.83,11.17,11.33,7.33,13.67,13.83,2.33,3.83,1.33,2.5,0.64,0.22,0.17,0.53,0.51,,,0.53,0.5,0.52,0.52,0.65,0.23,0.18,0.54,0.55,,,0.54,0.51,0.52,0.54
Fenerbahçe,2.33,1.0,7.0,1.83,8.0,2.5,22.83,6.33,123.33,56.5,63.33,23.0,63.33,36.67,1.0,0.0,13.5,2.83,9.33,3.5,2.6,1.6,3.5,10.67,14.5,5.17,12.67,13.67,1.5,6.0,2.17,3.67,0.79,0.16,0.1,0.49,0.55,,,,,,,0.79,0.17,0.11,0.57,0.52,,,,,,,Turkey Super Lig,2025-2026,1.0,2.75,4.0,5.33,4.17,6.0,11.17,13.83,75.17,101.33,33.83,42.17,41.67,58.33,0.0,1.0,6.83,8.5,4.33,5.33,1.17,1.5,7.33,7.0,6.83,9.67,12.83,15.0,3.17,2.5,2.33,3.0,0.2,0.24,0.59,0.57,0.47,,,0.55,0.48,0.51,0.52,0.22,0.25,0.6,0.5,0.58,,,0.56,0.5,0.52,0.54
Galatasaray,2.67,1.0,6.14,3.86,10.86,3.86,21.29,9.29,99.0,66.71,59.29,26.0,64.86,35.14,,,13.71,5.71,7.57,3.57,1.71,2.57,6.29,13.29,16.43,7.14,11.29,10.14,2.71,5.0,1.0,2.43,0.77,0.16,0.11,0.55,0.49,,,,,,,0.77,0.17,0.12,0.51,0.57,,,,,,,Turkey Super Lig,2025-2026,0.33,2.0,3.67,4.0,4.17,7.5,9.67,15.0,57.5,91.0,28.67,48.33,39.0,61.0,0.0,2.0,6.5,10.33,3.0,4.5,2.0,1.67,11.5,8.5,7.17,12.83,11.83,11.67,3.67,2.67,2.17,2.5,0.14,0.2,0.69,0.58,0.46,,,,,,,0.17,0.22,0.7,0.48,0.6,,,,,,
Gaziantep F.K.,1.57,2.0,6.0,4.57,6.43,4.14,17.0,10.29,91.14,75.14,40.14,29.29,59.71,40.29,0.67,0.67,9.71,5.86,7.29,4.29,1.5,1.33,6.57,10.71,10.0,8.29,12.43,17.14,2.71,4.14,3.14,4.57,0.36,0.27,0.4,0.58,0.46,,,0.54,0.5,0.51,0.52,0.37,0.28,0.41,0.5,0.59,,,0.55,0.5,0.52,0.54,Turkey Super Lig,2025-2026,1.2,1.8,3.5,3.5,7.67,4.83,16.33,11.0,103.67,64.33,52.83,30.83,52.67,47.33,0.67,0.67,9.83,6.5,6.5,4.5,1.33,1.5,5.33,9.0,8.0,7.0,15.0,14.17,2.0,3.33,2.33,2.67,0.47,0.28,0.29,0.6,0.44,,,0.56,0.49,0.54,0.49,0.49,0.28,0.3,0.47,0.6,,,,,0.54,0.52
Gençlerbirliği,1.17,1.5,5.0,4.83,4.83,6.67,12.5,14.67,70.5,96.0,30.5,50.5,42.0,58.0,1.0,0.0,7.5,9.5,5.0,5.17,1.67,2.67,10.83,7.83,8.17,8.0,12.67,13.33,2.67,3.0,2.0,2.17,0.3,0.29,0.44,0.55,0.49,,,0.54,0.49,0.5,0.53,0.32,0.29,0.46,0.52,0.57,,,0.54,0.52,0.52,0.55,Turkey Super Lig,2025-2026,1.57,1.0,5.86,3.29,9.57,3.14,18.0,8.71,95.29,57.57,49.43,26.43,62.86,37.14,0.67,0.33,12.71,4.43,5.29,4.57,2.71,2.0,5.14,11.43,12.14,5.71,15.43,12.86,1.71,3.29,2.57,2.71,0.63,0.23,0.18,0.52,0.52,,,0.55,0.48,0.51,0.52,0.64,0.25,0.19,0.56,0.53,,,0.56,0.5,0.52,0.54
Göztepe,1.5,0.25,5.2,5.0,5.6,5.2,13.4,11.8,95.2,100.8,41.0,42.2,36.6,63.4,0.5,0.5,9.8,6.6,3.6,5.2,1.4,1.4,8.4,7.8,7.2,5.6,18.6,10.0,2.0,2.8,2.6,2.4,0.48,0.27,0.28,0.54,0.5,,,0.55,0.48,0.5,0.53,0.48,0.29,0.31,0.54,0.55,,,0.56,0.5,0.51,0.54,Turkey Super Lig,2025-2026,0.83,1.5,5.29,4.14,5.43,5.86,13.14,13.14,94.14,91.0,48.14,41.86,62.86,37.14,,,7.0,7.29,6.14,6.0,2.29,2.14,9.43,8.43,9.29,9.86,8.43,17.0,3.0,3.86,2.14,2.14,0.38,0.28,0.38,0.56,0.49,,,0.54,0.51,0.51,0.53,0.39,0.29,0.39,0.52,0.57,,,0.54,0.52,0.53,0.53
