team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Atlético Progreso,1.24,1.76,5.17,4.22,5.0,3.89,12.33,10.83,104.88,104.47,68.88,60.47,47.61,52.39,0.5,0.88,7.29,6.59,5.41,4.06,1.56,1.25,8.12,9.24,10.4,6.4,12.59,11.65,3.0,3.24,3.17,2.89,0.33,0.29,0.42,0.51,0.53,0.55,0.49,0.51,0.53,0.52,0.53,0.34,0.29,0.44,0.57,0.52,0.55,0.5,0.52,0.54,0.52,0.53,Uruguay Primera Division,2025,1.88,1.0,4.95,4.63,5.21,4.05,11.53,10.32,111.47,98.68,72.26,60.84,57.21,42.79,1.0,0.43,6.71,5.29,5.53,5.88,1.24,1.76,7.59,10.53,9.0,6.0,11.06,11.82,2.83,2.94,2.84,2.53,0.53,0.28,0.23,0.49,0.55,0.52,0.52,0.52,0.51,0.51,0.53,0.55,0.29,0.24,0.57,0.52,0.52,0.53,0.53,0.52,0.52,0.53
Boston River,2.0,1.07,4.32,4.05,3.0,5.37,9.47,12.11,88.0,94.53,52.53,59.11,53.95,46.05,0.25,0.75,5.47,6.0,4.0,6.11,1.67,1.39,6.79,6.26,7.29,11.29,12.53,10.47,3.21,2.53,2.79,2.26,0.42,0.3,0.33,0.48,0.57,0.54,0.5,0.5,0.54,0.52,0.54,0.44,0.3,0.34,0.6,0.49,0.55,0.5,0.51,0.55,0.51,0.53,Uruguay Primera Division,2025,1.53,1.33,4.78,3.94,5.67,3.39,13.06,8.56,101.78,103.17,61.0,53.28,44.89,55.11,0.5,0.5,7.69,5.56,6.06,3.31,1.46,1.69,6.75,7.81,6.5,3.5,11.56,12.25,1.94,3.88,1.89,2.94,0.44,0.3,0.3,0.49,0.56,0.53,0.51,0.51,0.53,0.52,0.52,0.45,0.31,0.32,0.59,0.5,0.53,0.52,0.51,0.54,0.52,0.52
Cerro,1.14,0.93,2.89,5.44,3.44,4.78,7.94,11.61,84.94,98.18,52.65,60.76,45.17,54.83,1.0,0.0,6.08,6.77,3.08,6.23,1.54,1.85,9.0,8.46,4.83,7.33,13.38,14.15,3.19,2.06,2.78,3.28,0.31,0.33,0.4,0.44,0.6,0.51,0.53,0.5,0.54,0.5,0.55,0.34,0.32,0.43,0.63,0.44,0.51,0.55,0.5,0.55,0.55,0.5,Uruguay Primera Division,2025,1.87,1.0,4.79,3.89,5.0,3.84,13.74,8.16,98.26,87.84,59.32,45.21,56.42,43.58,0.67,0.33,7.11,4.39,6.89,4.06,1.33,1.44,7.06,9.72,10.6,6.2,12.44,14.72,1.94,3.78,2.26,3.47,0.55,0.28,0.21,0.44,0.6,0.52,0.52,0.5,0.54,0.5,0.54,0.56,0.29,0.23,0.63,0.45,0.52,0.53,0.51,0.54,0.53,0.53
Cerro Largo,1.41,1.29,4.21,4.05,4.68,3.95,11.53,10.16,84.68,88.0,53.05,52.11,49.16,50.84,0.4,0.6,7.18,5.65,4.71,4.76,1.69,1.5,7.41,9.29,7.67,6.5,13.29,11.94,2.74,2.95,2.84,2.58,0.39,0.32,0.33,0.46,0.58,0.51,0.53,0.51,0.53,0.5,0.55,0.41,0.32,0.35,0.6,0.48,0.52,0.53,0.51,0.54,0.51,0.54,Uruguay Primera Division,2025,1.19,1.06,4.83,3.83,5.0,3.39,12.0,10.22,105.67,100.56,68.17,58.44,56.11,43.89,0.67,0.67,6.47,5.59,5.24,4.71,1.88,1.5,6.12,8.88,8.0,6.5,12.65,14.59,3.24,3.47,3.06,3.17,0.48,0.31,0.25,0.47,0.58,0.53,0.51,0.49,0.55,0.51,0.54,0.5,0.31,0.28,0.6,0.48,0.53,0.52,0.51,0.55,0.52,0.53
Danubio,1.67,1.2,5.28,4.5,5.06,4.61,11.72,11.22,100.67,99.22,60.06,56.17,51.0,49.0,0.5,0.5,7.0,6.75,5.62,5.19,1.79,1.5,8.31,9.0,8.5,8.25,11.56,12.56,3.12,2.71,2.06,2.94,0.41,0.31,0.31,0.46,0.58,0.51,0.53,0.5,0.54,0.49,0.55,0.43,0.31,0.34,0.61,0.46,0.52,0.53,0.51,0.55,0.5,0.56,Uruguay Primera Division,2025,1.38,1.0,4.16,4.79,3.58,4.53,10.32,9.89,106.78,95.56,60.5,58.94,54.58,45.42,0.5,0.5,5.71,5.65,5.53,4.35,1.38,1.25,8.76,6.82,7.6,7.0,13.35,11.71,2.56,2.78,2.84,2.63,0.43,0.31,0.3,0.47,0.57,0.52,0.52,0.52,0.52,0.51,0.53,0.46,0.3,0.32,0.61,0.47,0.52,0.53,0.52,0.53,0.53,0.52
Defensor Sporting,1.56,0.89,4.47,4.37,4.47,4.11,12.16,11.11,99.68,93.58,54.68,53.95,53.58,46.42,0.75,0.25,7.11,5.22,5.44,6.28,2.06,1.56,7.28,7.67,9.4,8.2,11.44,12.33,3.63,3.47,2.53,2.68,0.47,0.29,0.28,0.49,0.55,0.54,0.5,0.51,0.53,0.5,0.54,0.49,0.31,0.29,0.58,0.5,0.55,0.5,0.51,0.55,0.52,0.53,Uruguay Primera Division,2025,1.47,0.93,4.89,3.94,4.61,4.28,12.22,10.06,95.56,92.78,58.67,48.33,49.5,50.5,0.75,0.25,6.94,6.19,5.56,4.44,1.88,1.81,7.31,7.12,10.0,5.5,14.75,10.0,2.47,3.65,2.17,1.83,0.39,0.3,0.35,0.49,0.56,0.53,0.5,0.51,0.53,0.51,0.53,0.41,0.3,0.37,0.58,0.51,0.54,0.51,0.51,0.54,0.52,0.54
Juventud,1.44,1.06,4.42,5.37,3.74,5.11,9.79,12.11,107.68,104.16,65.53,69.95,51.47,48.53,0.67,0.44,6.29,6.29,4.0,6.47,1.69,1.94,8.59,8.47,7.75,5.75,10.06,10.88,3.44,2.61,1.74,1.89,0.41,0.3,0.33,0.51,0.53,0.54,0.5,0.52,0.52,0.5,0.54,0.43,0.3,0.35,0.56,0.53,0.54,0.51,0.52,0.53,0.52,0.54,Uruguay Primera Division,2025,1.33,1.27,4.33,4.5,5.0,4.17,13.17,10.11,102.33,100.56,66.11,59.39,50.33,49.67,0.17,0.83,6.76,5.59,6.24,4.47,0.94,2.94,6.53,8.18,9.83,6.83,12.06,10.94,2.24,2.88,2.39,2.33,0.45,0.29,0.29,0.5,0.55,0.52,0.51,0.5,0.54,0.5,0.54,0.47,0.29,0.31,0.57,0.51,0.55,0.5,0.51,0.54,0.51,0.54
Liverpool,1.94,1.12,4.53,4.26,4.53,6.26,12.37,12.89,104.68,92.21,62.58,57.47,56.42,43.58,0.75,0.25,7.29,6.65,5.12,6.29,1.5,1.64,6.18,8.59,8.5,8.75,10.47,12.65,2.78,3.89,2.11,3.0,0.48,0.29,0.27,0.5,0.55,0.55,0.48,0.52,0.52,0.51,0.53,0.5,0.3,0.28,0.57,0.51,0.56,0.5,0.52,0.54,0.52,0.54,Uruguay Primera Division,2025,1.0,1.12,5.28,4.22,5.17,4.56,12.83,12.0,98.88,101.53,60.59,59.12,43.06,56.94,0.33,1.0,7.0,6.33,5.83,5.67,1.53,1.0,7.67,6.78,7.5,7.0,12.78,9.06,3.56,3.22,3.17,2.22,0.34,0.3,0.41,0.52,0.53,0.55,0.49,0.52,0.52,0.51,0.54,0.35,0.3,0.43,0.55,0.54,0.55,0.5,0.53,0.52,0.52,0.53
Miramar Misiones,0.81,1.25,4.67,6.0,3.67,4.78,8.83,11.39,102.39,105.83,57.11,65.28,45.78,54.22,0.5,0.83,4.69,6.94,4.75,5.06,1.21,1.36,8.25,8.62,5.4,6.2,13.44,11.94,3.17,2.83,2.83,3.06,0.28,0.29,0.47,0.49,0.56,0.53,0.5,0.51,0.53,0.5,0.54,0.3,0.29,0.49,0.59,0.5,0.54,0.51,0.51,0.54,0.52,0.53,Uruguay Primera Division,2025,1.94,1.17,5.95,3.63,4.16,4.32,11.95,9.74,108.0,94.37,70.16,60.21,56.26,43.74,0.9,0.4,8.06,5.56,5.19,5.0,1.33,1.07,7.62,10.06,7.83,7.33,12.44,14.5,2.69,3.31,2.32,3.74,0.54,0.28,0.22,0.48,0.57,0.54,0.5,0.51,0.52,0.5,0.55,0.54,0.29,0.24,0.6,0.48,0.54,0.51,0.52,0.54,0.51,0.54
Montevideo City Torque,1.38,1.38,4.61,4.33,5.0,4.22,12.67,10.67,107.65,94.71,63.29,53.18,54.17,45.83,0.33,1.0,6.89,5.17,5.78,5.5,0.76,1.35,8.11,8.44,9.5,6.0,13.39,11.0,2.94,3.44,2.89,2.56,0.48,0.28,0.28,0.49,0.55,0.55,0.5,0.52,0.52,0.5,0.54,0.48,0.3,0.3,0.57,0.51,0.53,0.52,0.52,0.53,0.51,0.55,Uruguay Primera Division,2025,1.71,1.65,4.0,5.58,3.84,4.53,10.32,11.84,92.58,102.16,55.53,67.05,44.79,55.21,0.5,0.62,7.25,6.38,4.06,6.0,1.4,1.27,8.75,5.88,6.75,8.25,11.25,11.38,3.56,2.89,2.37,2.89,0.38,0.3,0.36,0.52,0.52,0.54,0.5,0.52,0.51,0.5,0.54,0.4,0.31,0.37,0.55,0.54,0.54,0.51,0.52,0.53,0.51,0.54
